ticker,tags,ql,dd
ULTA,consumer-discretionary,0,0
MCD,consumer-discretionary/restaurants,0,0
YUM,consumer-discretionary/restaurants,0,0
BTC-USD.CC,"sector/crypto,crypto/coins",0,0
ETH-USD.CC,crypto/coins,0,0
0XMR-USD.CC,crypto/coins,0,0
MARA,crypto/miner,0,0
RIOT,crypto/miner,0,0
LUMN,telco,0,0
VEON,"telco,russia",0,0
YNDX,tech/software,0,0
GCI,news,0,0
BBBY,garbage,0,0
HLT,consumer-discretionary/hotels,0,0
HCITY.MX,"consumer-discretionary/hotels,mexico",0,0
FTCH,tech,0,0
NPK.TO,ags,0,0
INTC,semis,0,0
AMD,semis,0,0
TSM,semis,0,0
MU,semis,0,0
LRCX,semis,0,0
YEXT,tech/software,0,0
PTON,garbage,0,0
NOPE,garbage,0,0
RNGR,oil/ofs,0,0
SPY,sector,0,0
META,tech/large-cap,0,0
MSFT,tech/large-cap,0,0
AAPL,tech/large-cap,0,0
AMZN,tech/large-cap,0,0
XBI,sector/biotech,0,0
SNOW,tech/software,0,0
CGG.PA,oil/ofs,0,0
SD,oil/ep,0,0
RZE.V,oil/ep,0,0
OBE.TO,oil/ep,0,0
SGY.TO,oil/ep,0,0
MEG.TO,oil/ep,0,0
JOY.TO,oil/ep,0,0
CR.TO,oil/ep,0,0
RHC.V,helium,0,0
CMCL,gold/miner,0,0
ITRG,gold/miner,0,0
NHK.TO,gold/miner,0,0
BAYRY,biotech,0,0
FCFS,pawn,0,0
POWW,guns,0,0
AMAT,semis,0,0
ACLS,semis,0,0
STGW,madison,0,0
GEO,prison,0,0
CXW,prison,0,0
TLRY,cannabis,0,0
VRNOF,cannabis,0,0
GTBIF,cannabis,0,0
WRG.TO,oil/ofs,0,0
STEP.TO,oil/ofs,0,0
VG.V,gold/miner,0,0
ARU.V,gold/miner,0,0
EQTY.V,gold/miner,0,0
CLOV,garbage,0,0
BSM,oil/royalty,0,0
MTR,oil/royalty,0,0
