date,open,high,low,close,adjusted_close,volume
2010-06-02,25.485,25.615,25.32,25.59,25.59,26800
2010-06-03,25.715,25.915,25.42,25.83,25.83,66700
2010-06-04,25.245,25.245,24.67,24.7,24.7,12200
2010-06-07,24.8,24.985,24.565,24.795,24.795,29000
2010-06-08,24.695,24.85,24.595,24.69,24.69,65400
2010-06-09,25.38,25.5155,25.29,25.33,25.33,17284
2010-06-10,25.7,25.8735,25.625,25.8735,25.8735,21600
2010-06-11,25.535,25.565,25.31,25.56,25.56,54496
2010-06-14,25.985,25.99,25.64,25.64,25.64,21200
2010-06-15,26.12,26.175,26.12,26.16,26.16,8000
2010-06-16,26.275,26.685,26.275,26.64,26.64,5400
2010-06-17,26.745,26.845,26.7,26.715,26.715,39282
2010-06-18,26.65,26.65,26.65,26.65,26.65,4000
2010-06-21,26.98,26.98,26.48,26.64,26.64,38400
2010-06-22,26.7,26.86,26.45,26.45,26.45,33140
2010-06-23,26.19,26.19,25.755,25.82,25.82,119610
2010-06-24,25.785,25.97,25.785,25.895,25.895,59742
2010-06-25,26.065,26.64,26.05,26.575,26.575,92092
2010-06-28,26.305,26.305,26.25,26.305,26.305,20680
2010-06-29,25.615,25.615,25.425,25.425,25.425,12400
2010-06-30,25.6,25.77,25.185,25.49,25.49,26282
2010-07-01,24.97,24.97,24.31,24.54,24.54,6600
2010-07-02,24.38,24.38,24.38,24.38,24.38,600
2010-07-06,24.33,24.33,24.33,24.33,24.33,7800
2010-07-07,24.715,24.975,24.715,24.975,24.975,7600
2010-07-08,25.535,25.535,25.2,25.44,25.44,76914
2010-07-09,25.64,25.715,25.305,25.43,25.43,98176
2010-07-12,25.41,25.41,25.12,25.315,25.315,95696
2010-07-13,25.8265,25.975,25.8265,25.945,25.945,6872
2010-07-14,25.93,26.145,25.875,25.91,25.91,24106
2010-07-15,25.965,25.965,25.435,25.65,25.65,15916
2010-07-16,25.445,25.54,25.31,25.31,25.31,40972
2010-07-19,25.975,25.975,25.615,25.615,25.615,5600
2010-07-20,25.4316,25.875,25.38,25.77,25.77,48580
2010-07-21,25.71,25.71,25.44,25.575,25.575,32860
2010-07-22,25.985,26.33,25.965,26.305,26.305,141954
2010-07-23,26.055,26.29,26.05,26.28,26.28,25458
2010-07-26,26.095,26.255,26.095,26.21,26.21,42870
2010-07-27,25.93,25.93,25.54,25.775,25.775,105580
2010-07-28,25.735,25.735,25.65,25.65,25.65,6000
2010-07-29,25.95,26.42,25.95,26.245,26.245,155384
2010-07-30,25.925,26.46,25.925,26.46,26.46,5200
2010-08-02,27.135,27.37,27.135,27.33,27.33,11542
2010-08-04,27.845,27.845,27.685,27.795,27.795,6000
2010-08-05,27.66,27.66,27.66,27.66,27.66,2800
2010-08-06,27.365,27.64,27.045,27.26,27.26,108540
2010-08-09,27.335,27.435,27.335,27.385,27.385,9258
2010-08-10,26.79,26.975,26.745,26.975,26.975,42088
2010-08-11,26.55,26.575,26.25,26.27,26.27,27214
2010-08-12,25.83,25.915,25.58,25.58,25.58,31826
2010-08-13,25.5,25.55,25.365,25.55,25.55,34542
2010-08-16,25.385,25.4,25.355,25.4,25.4,12400
2010-08-17,26.055,26.14,25.945,25.945,25.945,21650
2010-08-18,25.56,25.855,25.425,25.84,25.84,128814
2010-08-19,25.595,25.595,25.34,25.405,25.405,67286
2010-08-20,25.2,25.2,25.03,25.06,25.06,14490
2010-08-23,24.89,24.89,24.79,24.79,24.79,31200
2010-08-24,24.465,24.465,24.34,24.34,24.34,22800
2010-08-25,24.355,24.765,24.34,24.765,24.765,43978
2010-08-26,25.35,25.35,25.35,25.35,25.35,3000
2010-08-27,25.315,25.785,25.28,25.785,25.785,181714
2010-08-30,25.73,25.87,25.67,25.87,25.87,55968
2010-08-31,25.755,25.84,25.1,25.1,25.1,70468
2010-09-01,25.76,25.79,25.635,25.75,25.75,109562
2010-09-02,25.435,25.67,25.435,25.67,25.67,45600
2010-09-03,26.025,26.03,25.49,25.595,25.595,31000
2010-09-07,25.8,26.215,25.8,26.0,26.0,14000
