date,open,high,low,close,adjusted_close,volume
2018-05-22,53.5,53.5,53.5,53.5,53.5,100
2018-06-01,52.5,52.5,52.5,52.5,52.5,15
2018-06-29,48.2,48.2,48.2,48.2,48.2,20
2018-07-23,46.5,46.5,45.9,45.9,45.9,550
2018-07-24,46.112,46.112,46.112,46.112,46.112,446
2018-08-03,45.9,45.9,45.9,45.9,45.9,261
2018-09-07,38.925,38.925,38.925,38.925,38.925,129
2018-09-13,45.40000000000001,45.60000000000001,45.2,45.2,45.2,734
2018-09-18,45.451,45.451,45.451,45.451,45.451,202
2018-10-09,46.7,46.7,46.7,46.7,46.7,551
2018-10-23,40.0,40.0,40.0,40.0,40.0,465
2018-10-25,38.499,38.499,38.499,38.499,38.499,200
2018-10-26,36.1,36.1,36.1,36.1,36.1,20
2018-11-09,38.0,38.0,38.0,38.0,38.0,20
2018-11-19,33.5,33.5,33.5,33.5,33.5,30
2018-11-26,32.0,32.0,32.0,32.0,32.0,170
2018-12-11,28.8,28.8,28.8,28.8,28.8,109
2018-12-17,26.9,26.9,26.3,26.3,26.3,913
2018-12-20,23.4,23.4,23.4,23.4,23.4,20
2018-12-24,24.5,24.5,24.5,24.5,24.5,200
2019-01-25,25.5,25.5,25.5,25.5,25.5,120
2019-02-04,25.005,25.005,25.005,25.005,25.005,844
2019-02-05,25.3,25.3,25.3,25.3,25.3,1656
2019-02-11,25.2,25.2,25.2,25.2,25.2,320
2019-03-04,26.7,27.2,26.7,27.2,27.2,650
2019-03-11,29.2,31.0,28.666,30.0,30.0,2154
2019-03-12,29.4,29.5,22.0,29.4,29.4,1650
2019-03-13,29.0,29.0,28.7,28.7,28.7,500
2019-03-14,27.7,27.7,27.7,27.7,27.7,105
2019-03-19,31.5,31.5,31.5,31.5,31.5,100
2019-03-21,32.0,32.0,32.0,32.0,32.0,30
2019-03-22,32.0,32.3,31.7,31.7,31.7,450
2019-03-27,30.9,30.9,30.9,30.9,30.9,770
2019-03-28,30.2,30.2,30.2,30.2,30.2,500
2019-03-29,30.2,30.2,30.2,30.2,30.2,1000
2019-04-01,30.4,31.0,30.4,31.0,31.0,600
2019-04-04,32.0,32.0,32.0,32.0,32.0,16
2019-04-08,28.0,28.0,28.0,28.0,28.0,30
2019-04-09,31.8,31.8,31.8,31.8,31.8,200
