date,open,high,low,close,adjusted_close,volume
1987-04-22,1.6734,1.7438442623641066,1.620556234473815,1.6734,1.6734,2959650
1987-04-23,1.6558,1.6734289855319149,1.620584304680851,1.6558,1.6558,671625
1987-04-24,1.6558,1.6558,1.620584304680851,1.6558,1.6558,179325
1987-04-27,1.6206,1.6558160363822922,1.5853557795149609,1.6206,1.6206,139050
1987-04-28,1.5854,1.6206452035555554,1.5854,1.5854,1.5854,102600
1987-04-29,1.5501,1.6029443181818182,1.5501,1.5501,1.5501,346500
1987-04-30,1.5501,1.6029443181818182,1.5501,1.5501,1.5501,772425
1987-05-01,1.5501,1.6029443181818182,1.5501,1.5501,1.5501,128925
1987-05-04,1.6206,1.6206,1.5677548073495011,1.6206,1.6206,400275
1987-05-05,1.5677,1.6205433452283575,1.5677,1.5677,1.5677,53325
1987-05-06,1.5325,1.620588804597701,1.4972701149425287,1.5325,1.5325,103050
1987-05-07,1.6206,1.6206,1.5149096146990026,1.6206,1.6206,641925
1987-05-08,1.5854,1.6206452035555554,1.5501688888888887,1.5854,1.5854,145125
1987-05-11,1.6206,1.6206,1.5677548073495011,1.6206,1.6206,189675
1987-05-12,1.6206,1.6206,1.5325105868644622,1.6206,1.6206,448650
1987-05-13,1.603,1.620629476923077,1.550153846153846,1.603,1.603,301725
1987-05-14,1.6206,1.6206,1.550125651081295,1.6206,1.6206,58500
1987-05-15,1.6206,1.6206,1.5677548073495011,1.6206,1.6206,88200
1987-05-18,1.5677,1.6205433452283575,1.5677,1.5677,1.5677,19575
1987-05-19,1.5501,1.5677288645454546,1.497255681818182,1.5501,1.5501,33975
1987-05-20,1.4973,1.5677752687058824,1.4444541176470589,1.4973,1.4973,192600
1987-05-21,1.5325,1.5325,1.4620543218390805,1.5325,1.5325,129825
1987-05-22,1.5325,1.5325,1.4796551724137932,1.5325,1.5325,15300
1987-05-26,1.5677,1.5677,1.4972281148034623,1.5677,1.5677,119475
1987-05-27,1.5677,1.585300356850725,1.5148566547716424,1.5677,1.5677,117675
1987-05-28,1.5677,1.5677,1.5324570116223677,1.5677,1.5677,33750
1987-05-29,1.5501,1.5501,1.5324852272727274,1.5501,1.5501,27225
1987-06-01,1.5501,1.5853295454545455,1.5324852272727274,1.5501,1.5501,33525
1987-06-02,1.5854,1.5854,1.5501688888888887,1.5854,1.5854,86625
1987-06-03,1.5854,1.6206452035555554,1.5501688888888887,1.5854,1.5854,143775
1987-06-04,1.6206,1.6206,1.550125651081295,1.6206,1.6206,85500
1987-06-05,1.6206,1.6206,1.5149096146990026,1.6206,1.6206,84600
1987-06-08,1.6225,1.6225,1.5519430265823777,1.6225,1.6225,19125
1987-06-09,1.5519,1.6224550172727272,1.5166436536363637,1.5519,1.5519,76050
1987-06-10,1.5519,1.6224550172727272,1.5519,1.5519,1.5519,59625
1987-06-11,1.6225,1.6225,1.5519430265823777,1.6225,1.6225,85050
1987-06-12,1.6225,1.6225,1.5519430265823777,1.6225,1.6225,126225
1987-06-15,1.6225,1.6225,1.5519430265823777,1.6225,1.6225,34875
1987-06-16,1.7283,1.7283,1.5519301883249932,1.7283,1.7283,715500
1987-06-17,1.7283,1.7283,1.640108039934368,1.7283,1.7283,353700
1987-06-18,1.7636,1.7636,1.657784,1.7636,1.7636,289575
1987-06-19,1.7459,1.7459,1.6577232323232325,1.7459,1.7459,271575
1987-06-22,1.7459,1.7635353535353535,1.6929939393939395,1.7459,1.7459,367650
1987-06-23,1.693,1.74590625,1.693,1.693,1.693,110925
1987-06-24,1.693,1.74590625,1.693,1.693,1.693,80550
1987-06-25,1.7283,1.7283,1.6577436102562428,1.7283,1.7283,55575
1987-06-26,1.693,1.7282849416666666,1.6577291666666667,1.693,1.693,103725
1987-06-29,1.6577,1.7282545336170212,1.6577,1.6577,1.6577,82350
1987-06-30,1.6577,1.6929702127659574,1.6577,1.6577,1.6577,43425
1987-07-01,1.6225,1.6930287562716846,1.6225,1.6225,1.6225,43425
1987-07-02,1.6225,1.6930287562716846,1.6225,1.6225,1.6225,40950
1987-07-06,1.6225,1.6930287562716846,1.6225,1.6225,1.6225,43200
1987-07-07,1.6225,1.6930287562716846,1.6225,1.6225,1.6225,25425
1987-07-08,1.6225,1.6225,1.6225,1.6225,1.6225,12600
1987-07-09,1.6225,1.6930287562716846,1.6225,1.6225,1.6225,57150
1987-07-10,1.6225,1.657757323849358,1.6225,1.6225,1.6225,29250
