date,open,high,low,close,adjusted_close,volume
1995-09-21,2.441,2.7969791666666666,2.415572916666666,2.441,2.441,5764000
1995-09-22,2.4155265957446805,2.4409531914893616,2.313820212765957,2.3901,2.3901,3339200
1995-09-25,2.4155265957446805,2.4409531914893616,2.3901,2.3901,2.3901,152400
1995-09-26,2.4409531914893616,2.4409531914893616,2.3901,2.3901,2.3901,788400
1995-09-27,2.3901,2.4409531914893616,2.3901,2.3901,2.3901,263600
1995-09-28,2.3901,2.4409531914893616,2.3901,2.3901,2.3901,755200
1995-09-29,2.390145833333333,2.4918541666666667,2.390145833333333,2.441,2.441,177200
1995-10-02,2.441,2.441,2.4283068,2.441,2.441,206800
1995-10-03,2.441,2.4918541666666667,2.441,2.441,2.441,272800
1995-10-04,2.466427083333333,2.4918541666666667,2.441,2.441,2.441,84800
1995-10-05,2.441,2.4918541666666667,2.441,2.441,2.441,2372400
1995-10-06,2.4537338833333333,2.466427083333333,2.441,2.441,2.441,138400
1995-10-09,2.441,2.4918541666666667,2.441,2.441,2.441,1060400
1995-10-10,2.441,2.4537338833333333,2.441,2.441,2.441,110800
1995-10-11,2.4664,2.4918268041237117,2.4664,2.4664,2.4664,169600
1995-10-12,2.466393024721039,2.466393024721039,2.4537,2.4537,2.4537,62400
1995-10-13,2.466427083333333,2.466427083333333,2.4283068,2.441,2.441,500400
1995-10-16,2.441,2.441,2.441,2.441,2.441,12400
1995-10-17,2.466427083333333,2.51728125,2.441,2.441,2.441,51600
1995-10-18,2.441,2.441,2.441,2.441,2.441,48400
1995-10-19,2.441018181818181,2.5681545454545454,2.2376,2.2376,2.2376,116400
1995-10-20,2.2376,2.2630272727272724,2.2376,2.2376,2.2376,79600
1995-10-23,2.2376,2.2376,2.2376,2.2376,2.2376,27600
1995-10-24,2.2376,2.2376,2.2376,2.2376,2.2376,7200
1995-10-25,2.2375913043478266,2.3393,2.2375913043478266,2.3393,2.3393,113600
1995-10-26,2.2376,2.3393090909090906,2.2376,2.2376,2.2376,82800
1995-10-27,2.237609523809524,2.237609523809524,2.1359,2.1359,2.1359,40800
1995-10-30,2.1358536585365853,2.1358536585365853,2.085,2.085,2.085,40000
1995-10-31,2.085,2.085,2.085,2.085,2.085,5600
1995-11-01,2.085055,2.2121925,2.0342,2.0342,2.0342,84400
1995-11-02,2.034190476190476,2.1359,2.034190476190476,2.1359,2.1359,4800
1995-11-03,2.034210526315789,2.034210526315789,1.9325,1.9325,1.9325,36800
1995-11-06,1.9579175,2.0342,1.93249,2.0342,2.0342,26000
1995-11-07,2.059609090909091,2.059609090909091,1.9324727272727271,1.9579,1.9579,10400
1995-11-08,1.9325,1.9325,1.9325,1.9325,1.9325,1200
1995-11-10,1.9324641975308643,2.0596,1.9324641975308643,2.0596,2.0596,605600
1995-11-13,2.059638157894737,2.059638157894737,1.9325,1.9325,1.9325,5600
1995-11-14,1.932446153846154,2.0595807692307693,1.932446153846154,1.9833,1.9833,1767200
1995-11-15,2.0596,2.0596,1.9833185185185187,2.0596,2.0596,1110000
1995-11-16,2.034172839506173,2.0596,1.9578913580246915,2.0596,2.0596,83600
1995-11-17,1.9833,1.9833,1.9833,1.9833,1.9833,2000
1995-11-20,2.085055,2.085055,2.0342,2.0342,2.0342,44400
1995-11-21,2.034146341463414,2.085,2.034146341463414,2.085,2.085,28400
1995-11-22,2.034172839506173,2.0850271604938277,1.9833185185185187,2.0596,2.0596,222400
1995-11-24,2.034172839506173,2.0596,2.034172839506173,2.0596,2.0596,140000
1995-11-27,2.034172839506173,2.0596,1.9833185185185187,2.0596,2.0596,614800
1995-11-28,1.983345,2.0342,1.983345,2.0342,2.0342,203200
1995-11-29,2.008726923076923,2.085007692307692,1.9833,1.9833,1.9833,232400
1995-11-30,1.9832926829268287,2.085,1.9832926829268287,2.085,2.085,28000
1995-12-01,2.085055,2.1359099999999995,2.0342,2.0342,2.0342,70400
1995-12-04,2.034172839506173,2.0596,2.034172839506173,2.0596,2.0596,120400
1995-12-05,2.034164705882353,2.186727058823529,2.034164705882353,2.1613,2.1613,160400
1995-12-06,2.1359099999999995,2.1359099999999995,2.0342,2.0342,2.0342,26800
1995-12-07,2.186727058823529,2.186727058823529,2.034164705882353,2.1613,2.1613,424800
1995-12-08,2.034146341463414,2.085,2.034146341463414,2.085,2.085,800
1995-12-11,2.186772413793104,2.2376275862068966,2.186772413793104,2.2122,2.2122,36000
1995-12-12,2.186693333333334,2.2884,2.186693333333334,2.2884,2.2884,1600
1995-12-13,2.2884,2.2884,2.2884,2.2884,2.2884,42000
1995-12-14,2.2884,2.390106666666667,2.2884,2.2884,2.2884,103200
1995-12-15,2.2884725274725275,2.3393274725274726,2.2884725274725275,2.3139,2.3139,36000
1995-12-18,2.2884,2.3392533333333336,2.2884,2.2884,2.2884,107200
1995-12-19,2.313881818181818,2.3393090909090906,2.2376,2.2376,2.2376,235200
1995-12-20,2.2376,2.2376,2.2376,2.2376,2.2376,1600
1995-12-21,2.2884545454545453,2.3393090909090906,2.2376,2.2376,2.2376,28400
1995-12-22,2.2376,2.2376,2.2376,2.2376,2.2376,1200
1995-12-26,2.339246808510638,2.3901,2.2883936170212764,2.3901,2.3901,145200
1995-12-27,2.2884,2.390106666666667,2.2884,2.2884,2.2884,7200
1995-12-28,2.441035294117647,2.5936,2.441035294117647,2.5936,2.5936,30400
1995-12-29,2.441,2.5935625,2.441,2.441,2.441,8800
1996-01-02,2.440992,2.5427,2.440992,2.5427,2.5427,83200
1996-01-03,2.5936,2.5936,2.5936,2.5936,2.5936,400
1996-01-04,2.441035294117647,2.5936,2.441035294117647,2.5936,2.5936,2800
1996-01-05,2.568172549019608,2.5936,2.441035294117647,2.5936,2.5936,94800
1996-01-08,2.5936102040816325,2.5936102040816325,2.4919,2.4919,2.4919,9600
1996-01-09,2.5936102040816325,2.5936102040816325,2.4919,2.4919,2.4919,2000
1996-01-10,2.4919,2.4919,2.4919,2.4919,2.4919,35600
1996-01-11,2.5936102040816325,2.5936102040816325,2.4919,2.4919,2.4919,41600
1996-01-12,2.4919,2.4919,2.441044897959184,2.4919,2.4919,13200
1996-01-15,2.4919,2.4919,2.4919,2.4919,2.4919,4000
1996-01-16,2.4919,2.4919,2.4919,2.4919,2.4919,2000
1996-01-17,2.5427551020408163,2.5427551020408163,2.4919,2.4919,2.4919,59200
1996-01-18,2.4919,2.644465306122449,2.466472448979592,2.4919,2.4919,320800
1996-01-19,2.4918901960784314,2.6444549019607844,2.4918901960784314,2.5936,2.5936,12800
1996-01-22,2.4919,2.4919,2.4919,2.4919,2.4919,12400
1996-01-23,2.4918727272727272,2.5427272727272725,2.135890909090909,2.2376,2.2376,523600
1996-01-24,2.339246808510638,2.3901,2.339246808510638,2.3901,2.3901,4000
1996-01-25,2.2376,2.2376,2.2376,2.2376,2.2376,800
1996-01-29,2.313881818181818,2.313881818181818,2.2376,2.2376,2.2376,91600
1996-01-30,2.3901636363636363,2.3901636363636363,2.2376,2.2376,2.2376,108800
1996-02-01,2.2376,2.2376,2.2376,2.2376,2.2376,2400
1996-02-05,2.2375404255319147,2.3901,2.2375404255319147,2.3901,2.3901,14000
1996-02-06,2.3901636363636363,2.3901636363636363,2.2376,2.2376,2.2376,2400
1996-02-07,2.2375730337078648,2.263,2.2375730337078648,2.263,2.263,2800
1996-02-08,2.3901,2.3901,2.3901,2.3901,2.3901,2000
1996-02-09,2.2376,2.3901636363636363,2.2376,2.2376,2.2376,2800
1996-02-12,2.2375913043478266,2.3393,2.2375913043478266,2.3393,2.3393,11200
1996-02-13,2.0087725,2.1104825,2.0087725,2.0342,2.0342,508800
1996-02-14,2.2376,2.2376,2.2376,2.2376,2.2376,4400
1996-02-15,2.2376,2.2376,2.2376,2.2376,2.2376,4800
1996-02-16,2.1867,2.1867,2.1867,2.1867,2.1867,16000
1996-02-20,2.186754761904762,2.186754761904762,2.1359,2.1359,2.1359,18000
1996-02-21,2.0468985769411763,2.186727058823529,1.9833105882352944,2.1613,2.1613,1038400
1996-02-22,2.0596,2.0596,2.0596,2.0596,2.0596,60000
1996-02-23,2.046854076144578,2.135826506024096,2.046854076144578,2.1104,2.1104,174000
1996-02-26,2.0342,2.0342,2.0342,2.0342,2.0342,800
1996-02-27,2.135826506024096,2.186679518072289,2.0341204819277103,2.1104,2.1104,73600
1996-02-28,2.034166120088248,2.0469,2.034166120088248,2.0469,2.0469,8000
1996-03-01,2.0342,2.0342,2.0342,2.0342,2.0342,9600
1996-03-04,2.1358814814814817,2.186735802469136,2.034172839506173,2.0596,2.0596,93600
1996-03-05,2.0596,2.0596,2.034172839506173,2.0596,2.0596,172400
1996-03-06,2.1104268292682926,2.1104268292682926,2.085,2.085,2.085,16000
1996-03-07,2.034139534883721,2.1867,2.034139534883721,2.1867,2.1867,103200
1996-03-08,2.034139534883721,2.1867,2.034139534883721,2.1867,2.1867,1055600
1996-03-11,2.085036363636364,2.2376,2.085036363636364,2.2376,2.2376,12400
1996-03-12,2.212172727272727,2.2376,2.212172727272727,2.2376,2.2376,18000
1996-03-13,2.237546666666667,2.2884,2.1358400000000004,2.2884,2.2884,30000
1996-03-14,2.1358400000000004,2.2884,2.1358400000000004,2.2884,2.2884,22400
1996-03-15,2.339246808510638,2.3901,2.339246808510638,2.3901,2.3901,32000
1996-03-18,2.2884,2.4409600000000005,2.2884,2.2884,2.2884,196800
