date,open,high,low,close,adjusted_close,volume
2021-05-31,7.42,7.698,7.42,7.698,7.698,199894
2021-06-01,7.72,8.249,7.7,8.0,8.0,500192
2021-06-02,8.399,8.399,7.999,8.1,8.1,905572
2021-06-03,8.498,8.498,8.2,8.388,8.388,474884
2021-06-04,8.5,8.5,8.02,8.295,8.295,587927
2021-06-07,8.498,8.498,8.2,8.24,8.24,121195
2021-06-08,8.499,8.499,8.102,8.223,8.223,51786
2021-06-09,8.399,8.44,8.28,8.42,8.42,304753
2021-06-10,8.4,8.4,8.2,8.2,8.2,52493
2021-06-11,8.349,8.349,7.8,8.139,8.139,409484
2021-06-14,8.348,8.348,8.102,8.2,8.2,175688
2021-06-15,8.102,8.2,8.102,8.18,8.18,92471
2021-06-16,8.27,8.27,8.199,8.199,8.199,89780
2021-06-17,8.2,8.2,8.006,8.199,8.199,71129
2021-06-18,8.001,8.197,7.899,8.16,8.16,129448
2021-06-21,8.1,8.1,7.969,8.099,8.099,5122
2021-06-22,8.25,8.25,7.8,8.0,8.0,8759
2021-06-23,7.737,8.148,7.737,8.14,8.14,79
2021-06-24,8.14,8.148,7.9,8.139,8.139,988796
2021-06-25,8.148,8.148,8.065,8.12,8.12,40371
2021-06-28,8.2,8.4,8.2,8.21,8.21,360527
2021-06-29,8.32,8.4,8.0,8.3,8.3,215139
2021-06-30,8.35,8.39,8.25,8.3,8.3,66659
2021-07-01,8.39,8.45,8.0,8.347,8.347,317512
2021-07-02,8.44,8.44,8.0,8.0,8.0,143773
2021-07-05,8.35,8.35,8.0,8.1,8.1,47967
2021-07-06,8.335,8.335,8.085,8.19,8.19,73112
2021-07-07,8.3,8.3,8.05,8.27,8.27,27904
2021-07-08,7.9,8.2,7.801,7.802,7.802,66296
2021-07-09,7.95,8.099,7.881,8.099,8.099,13033
2021-07-12,8.0,8.0,7.89,7.899,7.899,8377
2021-07-13,7.69,7.999,7.501,7.99,7.99,1831
2021-07-14,7.62,7.989,7.62,7.701,7.701,39672
2021-07-15,7.899,7.899,7.449,7.45,7.45,339003
2021-07-16,7.451,7.899,7.451,7.599,7.599,44807
2021-07-19,7.46,7.639,7.35,7.35,7.35,97093
2021-07-20,7.101,7.699,7.003,7.003,7.003,93344
2021-07-21,7.0,7.799,7.0,7.433,7.433,137655
2021-07-22,7.949,7.949,7.007,7.3,7.3,49521
2021-07-23,7.3,7.5,7.2,7.5,7.5,39796
2021-07-26,7.25,7.4,7.2,7.4,7.4,77276
2021-07-27,7.4,7.499,7.4,7.499,7.499,6303
2021-07-28,7.7,7.7,7.29,7.29,7.29,5324
2021-07-29,7.101,7.89,7.022,7.89,7.89,165439
2021-07-30,7.486,8.046,7.449,8.04,8.04,97774
2021-08-02,7.9,7.901,7.8,7.8,7.8,13632
2021-08-03,7.304,7.8,7.304,7.8,7.8,28935
2021-08-04,7.8,7.8,7.8,7.8,7.8,0
2021-08-05,7.6,7.7,7.6,7.7,7.7,75000
2021-08-06,7.749,7.8,7.59,7.59,7.59,24190
2021-08-09,7.8,7.99,7.65,7.65,7.65,41006
2021-08-10,7.651,7.8,7.65,7.8,7.8,23762
2021-08-11,7.8,7.9,7.7,7.9,7.9,21103
2021-08-12,7.8,7.8,7.7,7.7,7.7,10621
2021-08-13,7.65,7.65,7.5,7.599,7.599,9548
2021-08-16,7.8,7.8,7.35,7.35,7.35,130730
2021-08-17,7.5,7.799,7.213,7.561,7.561,107153
2021-08-18,7.789,7.789,7.789,7.789,7.789,500
2021-08-19,7.357,7.5,7.356,7.5,7.5,6956
2021-08-20,7.356,7.5,7.356,7.5,7.5,8186
2021-08-23,7.68,7.68,7.29,7.45,7.45,16001
2021-08-24,7.5,7.799,7.5,7.799,7.799,21983
2021-08-25,7.51,7.8,7.51,7.51,7.51,147794
2021-08-26,7.6,7.749,7.6,7.749,7.749,25670
2021-08-27,7.749,7.749,7.749,7.749,7.749,0
2021-08-30,7.211,7.7,7.211,7.7,7.7,61787
2021-08-31,7.5,7.799,7.249,7.499,7.499,162120
2021-09-01,7.499,7.499,7.2,7.496,7.496,64143
2021-09-02,7.055,7.3,7.055,7.3,7.3,171270
2021-09-03,7.12,7.25,7.119,7.25,7.25,74888
2021-09-06,7.112,7.35,7.112,7.319,7.319,20495
2021-09-07,7.319,7.4,7.3,7.4,7.4,97860
2021-09-08,7.5,7.5,7.351,7.449,7.449,425351
2021-09-09,7.4,7.4,7.3,7.4,7.4,138208
2021-09-10,7.4,7.4,7.204,7.4,7.4,84234
2021-09-13,7.5,7.5,7.4,7.498,7.498,538900
2021-09-14,7.497,7.79,7.497,7.79,7.79,117914
2021-09-15,7.789,8.22,7.789,7.9,7.9,433207
2021-09-16,7.9,7.95,7.701,7.875,7.875,65731
2021-09-17,7.88,7.88,7.5,7.6,7.6,91068
2021-09-20,7.68,7.68,7.135,7.4,7.4,68517
2021-09-21,7.4,8.148,7.3,7.3,7.3,207986
2021-09-22,7.898,7.898,7.499,7.569,7.569,42915
2021-09-23,7.53,7.73,7.528,7.73,7.73,73162
2021-09-24,7.999,8.0,7.9,7.95,7.95,38500
2021-09-27,7.551,8.18,7.551,8.05,8.05,289107
2021-09-28,8.22,8.22,7.855,8.2,8.2,757626
2021-09-29,8.1,8.4,8.1,8.299,8.299,1101733
2021-09-30,8.439,8.45,8.1,8.1,8.1,1138018
2021-10-01,8.1,8.396,8.1,8.25,8.25,120174
2021-10-04,8.3,8.45,8.3,8.45,8.45,345937
2021-10-05,8.254,8.79,8.254,8.749,8.749,647320
2021-10-06,8.701,8.8,8.65,8.799,8.799,493150
2021-10-07,8.66,8.849,8.499,8.5,8.5,313376
2021-10-08,8.6,8.75,8.579,8.6,8.6,500686
2021-10-11,8.7,9.426,8.43,8.85,8.85,1169191
2021-10-12,8.839,9.0,8.501,8.75,8.75,500486
2021-10-13,8.8,8.944,8.601,8.753,8.753,369993
2021-10-14,8.75,8.938,8.739,8.8,8.8,267264
2021-10-15,8.874,9.39,8.651,9.0,9.0,483780
2021-10-18,9.2,9.29,8.901,9.08,9.08,222161
2021-10-19,9.051,9.199,8.913,8.999,8.999,267167
2021-10-20,9.05,9.2,8.9,9.2,9.2,339237
2021-10-21,9.199,9.2,8.999,9.195,9.195,76611
2021-10-22,9.2,9.2,9.056,9.12,9.12,82093
2021-10-25,9.24,9.246,8.912,9.24,9.24,181524
2021-10-26,9.279,9.4,8.991,9.12,9.12,314491
2021-10-27,9.01,9.385,9.01,9.15,9.15,87456
2021-10-28,9.2,9.261,9.2,9.245,9.245,47498
2021-10-29,9.4,9.4,8.94,9.0,9.0,185690
2021-11-01,9.2,9.2,8.8,8.899,8.899,121860
2021-11-02,9.193,9.193,8.5,9.096,9.096,579471
2021-11-03,9.16,9.16,8.601,9.13,9.13,34304
2021-11-04,9.219,9.22,9.001,9.118,9.118,59436
2021-11-05,9.4,9.4,9.003,9.252,9.252,210659
2021-11-08,9.349,9.349,9.101,9.19,9.19,130346
2021-11-09,9.1,9.165,8.949,9.165,9.165,43404
2021-11-10,9.3,9.3,8.9,9.2,9.2,107509
2021-11-11,8.815,9.1,8.815,9.1,9.1,10410
2021-11-12,9.179,9.19,9.0,9.19,9.19,3583309
2021-11-15,9.3,9.3,9.001,9.05,9.05,44069
2021-11-16,9.149,9.19,8.85,9.19,9.19,17508
2021-11-17,9.12,9.4,8.86,9.34,9.34,675073
2021-11-18,9.3,9.389,9.101,9.161,9.161,221223
2021-11-19,9.38,9.38,9.2,9.35,9.35,473774
2021-11-22,9.6,10.898,9.4,9.788,9.788,1072612
2021-11-23,9.768,9.768,9.421,9.65,9.65,201676
2021-11-24,9.75,9.8,9.57,9.78,9.78,349093
2021-11-25,9.9,10.494,9.665,10.0,10.0,408705
2021-11-26,9.7,10.016,9.4,9.5,9.5,587667
2021-11-29,9.5,9.585,9.336,9.545,9.545,318304
2021-11-30,9.39,9.439,9.137,9.39,9.39,252204
2021-12-01,9.155,9.562,9.155,9.462,9.462,116822
2021-12-02,9.486,9.645,9.2,9.45,9.45,428140
2021-12-03,9.55,9.75,9.495,9.65,9.65,420839
2021-12-06,9.65,9.799,9.465,9.589,9.589,203323
2021-12-07,9.899,9.899,9.65,9.65,9.65,173105
2021-12-08,9.7,9.988,9.7,9.801,9.801,192696
2021-12-09,9.8,10.498,9.8,10.25,10.25,258234
2021-12-10,10.102,10.474,9.86,10.0,10.0,203864
2021-12-13,10.0,10.376,9.88,10.004,10.004,156186
2021-12-14,9.602,10.178,9.602,9.67,9.67,228268
2021-12-15,9.557,9.585,9.28,9.461,9.461,197900
2021-12-16,9.66,10.0,9.33,9.38,9.38,145719
2021-12-17,9.203,9.65,9.203,9.65,9.65,70215
2021-12-20,9.301,9.5,9.3,9.5,9.5,259767
2021-12-21,9.501,10.0,9.5,10.0,10.0,313706
2021-12-22,10.43,10.43,9.706,10.19,10.19,135025
2021-12-23,10.152,10.498,9.99,10.496,10.496,200234
2021-12-27,10.5,10.5,10.198,10.28,10.28,126144
2021-12-28,10.354,11.482,10.35,10.5,10.5,230289
2021-12-29,10.9,11.188,10.28,10.852,10.852,372994
2021-12-30,10.95,10.95,10.6,10.9,10.9,205677
2022-01-03,11.0,11.0,10.43,10.9,10.9,200042
2022-01-04,10.502,10.976,10.502,10.8,10.8,74589
2022-01-05,10.946,10.946,10.5,10.8,10.8,91411
2022-01-06,10.5,10.9,10.5,10.67,10.67,113198
2022-01-07,10.832,11.14,10.5,10.5,10.5,348606
2022-01-10,10.896,10.896,10.104,10.22,10.22,139220
2022-01-11,10.5,10.682,10.226,10.65,10.65,91701
2022-01-12,10.5,10.6,10.248,10.6,10.6,766677
2022-01-13,10.5,10.766,10.258,10.4,10.4,124379
2022-01-14,10.4,10.4,10.23,10.3,10.3,85645
2022-01-17,10.3,10.718,10.3,10.502,10.502,217562
2022-01-18,10.5,10.79,10.202,10.65,10.65,292996
2022-01-19,10.5,10.984,10.4,10.44,10.44,204605
2022-01-20,10.232,10.928,10.23,10.5,10.5,97224
2022-01-21,10.5,10.522,10.052,10.4,10.4,280420
2022-01-24,10.4,10.6,9.702,9.763,9.763,266389
2022-01-25,10.19,10.19,9.512,9.791,9.791,128430
2022-01-26,10.95,10.95,9.801,10.49,10.49,193473
2022-01-27,10.038,10.484,10.0,10.292,10.292,97975
2022-01-28,11.0,11.0,9.9,9.99,9.99,28808
2022-01-31,9.711,10.882,9.711,10.2,10.2,47488
