date,open,high,low,close,adjusted_close,volume
2016-09-01,0.64,0.76,0.64,0.76,0.76,8000
2016-09-02,0.86,1.11,0.86,1.11,1.11,18100
2016-09-06,1.19,1.4,1.19,1.4,1.4,25800
2016-09-07,1.4,1.4,1.22,1.31,1.31,76100
2016-09-08,1.32,1.53,1.32,1.5,1.5,199100
2016-09-09,1.5,1.52,1.41,1.42,1.42,309600
2016-09-12,1.42,1.49,1.42,1.49,1.49,13200
2016-09-13,1.38,1.45,1.37,1.45,1.45,5300
2016-09-14,1.42,1.44,1.35,1.37,1.37,33200
2016-09-15,1.37,1.41,1.37,1.41,1.41,9900
2016-09-16,1.4,1.4,1.4,1.4,1.4,1400
2016-09-19,1.39,1.5,1.39,1.5,1.5,37200
2016-09-20,1.45,1.49,1.4,1.49,1.49,70100
2016-09-21,1.45,1.55,1.45,1.5,1.5,32300
2016-09-22,1.6,1.6,1.47,1.5,1.5,40100
2016-09-23,1.55,1.55,1.55,1.55,1.55,15000
2016-09-26,1.51,1.65,1.51,1.64,1.64,29500
2016-09-27,1.73,1.73,1.55,1.7,1.7,4400
2016-09-28,1.7,1.7,1.55,1.6,1.6,3200
2016-09-29,1.58,1.71,1.58,1.7,1.7,30100
2016-09-30,1.64,1.71,1.64,1.7,1.7,12700
2016-10-03,1.69,1.69,1.6,1.6,1.6,31600
2016-10-04,1.6,1.6,1.5,1.58,1.58,26600
2016-10-05,1.52,1.52,1.5,1.5,1.5,4800
2016-10-06,1.55,1.55,1.5,1.5,1.5,21000
2016-10-07,1.53,1.6,1.53,1.6,1.6,30300
2016-10-11,1.6,1.6,1.53,1.53,1.53,78800
2016-10-12,1.51,1.51,1.51,1.51,1.51,700
2016-10-13,1.49,1.5,1.49,1.5,1.5,2000
2016-10-14,1.51,1.51,1.5,1.5,1.5,2200
2016-10-17,1.5,1.5,1.5,1.5,1.5,0
2016-10-18,1.65,1.79,1.65,1.75,1.75,23200
2016-10-19,1.76,2.1,1.76,2.0,2.0,45600
2016-10-20,2.0,2.0,2.0,2.0,2.0,6100
2016-10-21,2.1,2.15,2.1,2.1,2.1,10400
2016-10-24,2.04,2.04,2.0,2.0,2.0,12300
2016-10-25,2.0,2.01,2.0,2.0,2.0,50200
2016-10-26,2.0,2.09,2.0,2.01,2.01,32500
2016-10-27,2.09,2.09,2.0,2.0,2.0,39900
2016-10-28,2.0,2.06,2.0,2.06,2.06,42500
2016-10-31,2.01,2.01,2.01,2.01,2.01,3500
2016-11-01,2.01,2.01,1.9,1.98,1.98,28800
2016-11-02,2.0,2.0,1.98,2.0,2.0,40100
2016-11-03,2.0,2.0,2.0,2.0,2.0,6000
2016-11-04,1.96,1.96,1.96,1.96,1.96,7100
2016-11-07,1.96,1.96,1.89,1.89,1.89,28700
2016-11-08,1.9,1.9,1.9,1.9,1.9,1400
2016-11-09,1.95,1.95,1.9,1.91,1.91,16900
2016-11-10,1.99,1.99,1.91,1.91,1.91,23100
2016-11-11,1.91,1.91,1.91,1.91,1.91,200
2016-11-14,1.86,1.99,1.86,1.95,1.95,6500
2016-11-15,1.91,1.91,1.91,1.91,1.91,100
2016-11-16,2.0,2.0,1.91,1.92,1.92,8400
2016-11-17,1.92,1.92,1.92,1.92,1.92,0
2016-11-18,1.92,1.92,1.92,1.92,1.92,0
2016-11-21,2.0,2.05,2.0,2.01,2.01,1100
2016-11-22,2.05,2.05,1.91,1.91,1.91,15100
2016-11-23,1.93,1.93,1.9,1.92,1.92,25800
2016-11-24,1.93,1.93,1.92,1.92,1.92,5000
2016-11-25,1.93,1.93,1.93,1.93,1.93,500
2016-11-28,1.93,1.93,1.92,1.92,1.92,2800
2016-11-29,1.93,1.93,1.93,1.93,1.93,1000
2016-11-30,1.93,1.93,1.91,1.91,1.91,24700
2016-12-01,1.91,1.92,1.91,1.92,1.92,700
2016-12-02,1.91,1.91,1.9,1.9,1.9,31600
2016-12-05,1.8,1.92,1.55,1.75,1.75,6800
2016-12-06,1.75,1.75,1.75,1.75,1.75,0
2016-12-07,1.75,1.75,1.75,1.75,1.75,5000
2016-12-08,1.75,1.75,1.74,1.74,1.74,58600
2016-12-09,1.75,1.75,1.75,1.75,1.75,22100
2016-12-12,1.71,1.75,1.7,1.75,1.75,6600
2016-12-13,1.74,1.75,1.74,1.75,1.75,50900
2016-12-14,1.75,1.8,1.75,1.75,1.75,121100
2016-12-15,1.7,1.75,1.7,1.73,1.73,35600
2016-12-16,1.74,1.74,1.7,1.7,1.7,28400
2016-12-19,1.72,1.72,1.7,1.7,1.7,1000
2016-12-20,1.74,1.74,1.7,1.7,1.7,7700
2016-12-21,1.7,1.77,1.7,1.77,1.77,57300
2016-12-22,1.74,1.75,1.7,1.7,1.7,63300
2016-12-23,1.7,1.75,1.7,1.75,1.75,46100
2016-12-28,1.75,1.75,1.75,1.75,1.75,1000
2016-12-29,1.7,1.75,1.7,1.75,1.75,37500
2016-12-30,1.7,1.75,1.7,1.75,1.75,34800
2017-01-03,1.74,1.75,1.74,1.75,1.75,39900
2017-01-04,1.7,1.74,1.7,1.7,1.7,18500
2017-01-05,1.75,1.75,1.75,1.75,1.75,4800
2017-01-06,1.75,1.75,1.74,1.75,1.75,45000
2017-01-09,1.74,1.74,1.74,1.74,1.74,1700
2017-01-10,1.7,1.71,1.7,1.7,1.7,15900
2017-01-11,1.7,1.75,1.7,1.74,1.74,15200
2017-01-12,1.71,1.75,1.71,1.75,1.75,38200
2017-01-13,1.75,1.75,1.75,1.75,1.75,0
2017-01-16,1.75,1.75,1.75,1.75,1.75,0
