date,open,high,low,close,adjusted_close,volume
2005-06-02,6.033875598086126,7.374736842105264,6.033875598086126,7.006,7.006,154400
2005-06-03,7.073028780487805,7.290918292682926,6.8719,6.8719,6.8719,75300
2005-06-06,6.905432911392405,6.905432911392405,6.6205,6.6205,6.6205,70800
2005-06-07,6.6205,6.704303797468354,6.469653164556962,6.6205,6.6205,70900
2005-06-08,6.637318085106383,6.637318085106383,6.302099999999999,6.302099999999999,6.3021,90600
2005-06-09,6.302064864864865,6.302064864864865,6.033891891891892,6.2015,6.2015,162400
2005-06-10,6.201504109589041,6.251786575342465,6.1177,6.1177,6.1177,82400
2005-06-13,6.134421428571429,6.134421428571429,6.067378571428572,6.1009,6.1009,93700
2005-06-14,6.117696466244725,6.379165137130802,6.117696466244725,6.3557,6.3557,112700
2005-06-15,6.365765326370758,6.452921671018277,6.318834986945171,6.4194,6.4194,71100
2005-06-16,6.402597677940435,6.704290762241293,6.37242836951035,6.6406,6.6406,56700
2005-06-17,6.6406167692307685,6.704307692307692,6.5367,6.5367,6.5367,105600
2005-06-20,6.620500500500501,6.704304304304305,6.620500500500501,6.697600000000001,6.6976,148900
2005-06-21,6.700929974811082,6.704282115869017,6.6238307304785895,6.654,6.654,178400
2005-06-22,6.70095164556962,6.70095164556962,6.553456962025317,6.6205,6.6205,81900
2005-06-23,6.654014074074074,6.871903703703703,6.64395762962963,6.788099999999999,6.7881,67500
2005-06-24,6.788160891089109,6.838443564356435,6.7714,6.7714,6.7714,72400
2005-06-27,6.737865151515152,6.737865151515152,6.620539141414141,6.6373,6.6373,28400
2005-06-28,6.654014074074074,6.788099999999999,6.58697111111111,6.788099999999999,6.7881,40500
2005-06-29,6.771339259259259,6.788099999999999,6.754578518518517,6.788099999999999,6.7881,28500
2005-06-30,6.788099999999999,6.788099999999999,6.64060548148148,6.788099999999999,6.7881,16400
2005-07-01,6.788099999999999,6.788099999999999,6.721057037037037,6.788099999999999,6.7881,23500
2005-07-05,6.737856650246306,6.871943349753694,6.737856650246306,6.804900000000001,6.8049,57200
