date,open,high,low,close,adjusted_close,volume
1980-03-18,6.0946,6.318666176470588,6.0946,6.0946,6.0946,3600
1980-03-19,6.1394,6.184213138686132,6.1394,6.1394,6.1394,600
1980-03-20,6.0946,6.0946,6.0946,6.0946,6.0946,300
1980-03-21,6.0498,6.0498,6.0498,6.0498,6.0498,900
1980-03-24,5.8705,6.004938931297709,5.8705,5.8705,5.8705,34500
1980-03-25,5.8257,5.8257,5.8257,5.8257,5.8257,19000
1980-03-26,5.8257,5.8705130769230776,5.8257,5.8257,5.8257,7100
1980-03-27,5.8257,5.8257,5.8257,5.8257,5.8257,16900
1980-03-28,5.9153,5.9153,5.9153,5.9153,5.9153,3900
1980-03-31,6.0498,6.094613333333333,6.0498,6.0498,6.0498,2400
1980-04-01,6.0946,6.0946,6.0946,6.0946,6.0946,10600
1980-04-02,6.1394,6.1394,6.1394,6.1394,6.1394,500
1980-04-03,6.1842,6.1842,6.1842,6.1842,6.1842,900
1980-04-07,6.0049,6.184150746268657,6.0049,6.0049,6.0049,1400
1980-04-08,5.7809,5.915339534883721,5.7809,5.7809,5.7809,1200
1980-04-09,5.7809,5.825713178294573,5.7809,5.7809,5.7809,1000
1980-04-10,5.7361,5.78091328125,5.7361,5.7361,5.7361,4200
1980-04-11,5.8257,5.8257,5.8257,5.8257,5.8257,1100
1980-04-14,5.9601,6.004912781954887,5.9601,5.9601,5.9601,1000
1980-04-15,5.7809,5.915339534883721,5.7809,5.7809,5.7809,7200
1980-04-16,5.7361,5.825726562500001,5.7361,5.7361,5.7361,200
1980-04-17,5.8257,5.8257,5.8257,5.8257,5.8257,2800
1980-04-18,5.7809,5.7809,5.7809,5.7809,5.7809,100
1980-04-21,5.7361,5.7361,5.7361,5.7361,5.7361,24600
1980-04-22,5.8257,5.8257,5.8257,5.8257,5.8257,700
1980-04-23,5.8257,5.8257,5.8257,5.8257,5.8257,2400
1980-04-24,5.9153,5.9153,5.9153,5.9153,5.9153,6200
1980-04-25,5.7809,5.825713178294573,5.7809,5.7809,5.7809,20800
1980-04-28,5.7361,5.7361,5.7361,5.7361,5.7361,800
1980-04-29,5.7809,5.870526356589147,5.7809,5.7809,5.7809,1300
1980-04-30,5.9153,5.960112878787879,5.9153,5.9153,5.9153,3000
1980-05-01,5.8705,5.8705,5.8705,5.8705,5.8705,400
1980-05-02,5.9153,6.004925757575758,5.9153,5.9153,5.9153,600
1980-05-05,5.9601,5.9601,5.9601,5.9601,5.9601,1300
1980-05-06,5.8705,5.915312977099236,5.8705,5.8705,5.8705,700
1980-05-07,5.9601,5.9601,5.9601,5.9601,5.9601,1700
1980-05-08,6.0049,6.0049,6.0049,6.0049,6.0049,2500
1980-05-09,6.0946,6.0946,6.0946,6.0946,6.0946,2100
1980-05-13,6.0946,6.0946,6.0946,6.0946,6.0946,1300
1980-05-14,6.0946,6.0946,6.0946,6.0946,6.0946,5400
1980-05-15,6.0049,6.094525373134329,6.0049,6.0049,6.0049,3100
1980-05-16,6.0498,6.094613333333333,6.0498,6.0498,6.0498,8700
1980-05-20,6.0946,6.0946,6.0946,6.0946,6.0946,1700
1980-05-21,6.229,6.229,6.229,6.229,6.229,4700
1980-05-22,6.229,6.273812949640288,6.229,6.229,6.229,1100
1980-05-23,6.229,6.318625899280576,6.229,6.229,6.229,1700
1980-05-27,6.2738,6.2738,6.2738,6.2738,6.2738,800
1980-05-28,6.4083,6.4083,6.4083,6.4083,6.4083,400
1980-05-29,6.453099999999999,6.453099999999999,6.453099999999999,6.453099999999999,6.4531,300
1980-05-30,6.3635,6.40831338028169,6.3635,6.3635,6.3635,2000
1980-06-02,6.229,6.273812949640288,6.229,6.229,6.229,5500
1980-06-03,6.1394,6.273839416058395,6.1394,6.1394,6.1394,11100
1980-06-04,6.1842,6.1842,6.1842,6.1842,6.1842,300
1980-06-05,6.1842,6.1842,6.1842,6.1842,6.1842,1000
1980-06-06,6.1842,6.1842,6.1842,6.1842,6.1842,4500
1980-06-10,6.3186,6.3186,6.3186,6.3186,6.3186,1100
1980-06-11,6.3635,6.45312676056338,6.3635,6.3635,6.3635,800
1980-06-13,6.453099999999999,6.453099999999999,6.453099999999999,6.453099999999999,6.4531,600
1980-06-16,6.3635,6.497940140845071,6.3635,6.3635,6.3635,3200
1980-06-17,6.2738,6.318612857142857,6.2738,6.2738,6.2738,5100
1980-06-19,6.1842,6.22901304347826,6.1842,6.1842,6.1842,1300
1980-06-20,6.1394,6.1394,6.1394,6.1394,6.1394,1000
1980-06-23,6.229,6.229,6.229,6.229,6.229,2100
1980-06-25,6.0946,6.184226470588236,6.0946,6.0946,6.0946,7000
1980-06-26,6.0049,6.0049,6.0049,6.0049,6.0049,2500
1980-06-27,6.0049,6.0049,6.0049,6.0049,6.0049,700
1980-06-30,6.0946,6.0946,6.0946,6.0946,6.0946,100
1980-07-01,6.0946,6.0946,6.0946,6.0946,6.0946,13800
1980-07-02,5.9601,6.049725563909774,5.9601,5.9601,5.9601,5000
1980-07-03,6.0049,6.0049,6.0049,6.0049,6.0049,100
1980-07-07,5.9601,5.9601,5.9601,5.9601,5.9601,600
1980-07-08,6.0498,6.0498,6.0498,6.0498,6.0498,16700
1980-07-09,6.0498,6.0498,6.0498,6.0498,6.0498,14200
1980-07-10,6.0049,6.184150746268657,6.0049,6.0049,6.0049,11300
1980-07-11,5.9601,6.004912781954887,5.9601,5.9601,5.9601,16600
1980-07-14,6.229,6.229,6.229,6.229,6.229,1700
1980-07-15,6.229,6.229,6.229,6.229,6.229,100
