date,open,high,low,close,adjusted_close,volume
2012-10-17,5.0,5.2,5.0,5.05,5.05,5100800
2012-10-18,5.05,5.06,4.95,5.04,5.04,1655200
2012-10-19,5.03,5.03,4.85,4.98,4.98,473600
2012-10-22,5.0,5.04,4.92,4.97,4.97,1032100
2012-10-23,4.9,4.9,4.73,4.8,4.8,3350600
2012-10-24,4.86,4.89,4.69,4.74,4.74,2800000
2012-10-25,4.73,4.75,4.7,4.7,4.7,379500
2012-10-26,4.7,4.74,4.47,4.74,4.74,597800
2012-10-29,4.75,4.75,4.65,4.72,4.72,175000
2012-10-30,4.65,4.65,4.54,4.63,4.63,161000
2012-10-31,4.66,4.66,4.62,4.64,4.64,35800
2012-11-01,4.68,4.74,4.52,4.72,4.72,1433000
2012-11-02,4.63,4.65,4.55,4.55,4.55,425900
2012-11-05,4.57,4.6,4.5,4.5,4.5,370700
2012-11-06,4.51,4.51,4.45,4.5,4.5,670100
2012-11-07,4.5,4.55,4.45,4.48,4.48,497000
2012-11-08,4.5,4.53,4.4,4.4,4.4,623500
2012-11-09,4.54,4.54,4.4,4.4,4.4,275500
2012-11-12,4.33,4.45,4.31,4.42,4.42,15100
2012-11-13,4.4,4.44,4.37,4.4,4.4,62700
2012-11-14,4.44,4.44,4.38,4.38,4.38,84800
2012-11-15,4.38,4.4,4.31,4.4,4.4,365600
2012-11-16,4.4,4.44,4.4,4.4,4.4,139000
2012-11-19,4.5,4.59,4.43,4.59,4.59,91200
2012-11-20,4.54,4.64,4.5,4.59,4.59,120900
2012-11-21,4.64,4.75,4.6,4.75,4.75,202900
2012-11-22,4.75,4.77,4.7,4.77,4.77,39200
2012-11-23,4.72,4.77,4.72,4.75,4.75,12400
2012-11-26,4.74,4.8,4.72,4.75,4.75,158500
2012-11-27,4.75,4.75,4.71,4.75,4.75,484900
2012-11-28,4.7,4.7,4.7,4.7,4.7,1800
2012-11-29,4.73,4.75,4.65,4.65,4.65,16100
2012-11-30,4.7,4.7,4.68,4.69,4.69,3200
2012-12-03,4.7,4.7,4.65,4.65,4.65,35700
2012-12-04,4.68,4.7,4.63,4.68,4.68,529300
2012-12-05,4.7,4.75,4.65,4.75,4.75,124800
2012-12-06,4.79,4.84,4.75,4.84,4.84,790400
2012-12-07,4.8,5.17,4.8,5.1,5.1,199400
2012-12-10,5.1,5.35,5.1,5.25,5.25,250700
2012-12-11,5.21,5.25,5.1,5.1,5.1,115900
2012-12-12,5.18,5.2,5.05,5.1,5.1,32000
2012-12-13,5.02,5.1,4.95,5.0,5.0,46300
2012-12-14,5.05,5.05,4.95,4.99,4.99,32400
2012-12-17,5.0,5.0,4.92,4.95,4.95,24100
2012-12-18,5.0,5.0,4.94,4.94,4.94,198900
2012-12-19,4.95,4.95,4.95,4.95,4.95,7600
2012-12-20,4.87,4.95,4.85,4.85,4.85,6500
2012-12-21,4.88,4.95,4.76,4.95,4.95,54100
2012-12-24,4.84,4.95,4.84,4.95,4.95,400
2012-12-27,4.78,4.93,4.76,4.87,4.87,59000
2012-12-28,4.87,4.95,4.85,4.95,4.95,11200
2012-12-31,4.99,5.0,4.95,5.0,5.0,2500
2013-01-02,5.0,5.0,4.95,4.99,4.99,36300
2013-01-03,5.03,5.03,4.99,4.99,4.99,14000
2013-01-04,4.99,5.0,4.98,5.0,5.0,5500
2013-01-07,5.0,5.0,4.95,5.0,5.0,10300
2013-01-08,4.98,4.98,4.86,4.95,4.95,13100
2013-01-09,4.95,4.98,4.9,4.95,4.95,19500
2013-01-10,5.0,5.01,4.93,5.0,5.0,147000
2013-01-11,5.05,5.12,5.02,5.08,5.08,950600
2013-01-14,5.09,5.1,5.04,5.09,5.09,279200
2013-01-15,5.09,5.24,5.09,5.15,5.15,444100
2013-01-16,5.18,5.23,5.11,5.19,5.19,253300
2013-01-17,5.25,5.45,5.15,5.3,5.3,386200
2013-01-18,5.29,5.29,5.2,5.25,5.25,90000
2013-01-21,5.25,5.25,5.11,5.2,5.2,104500
2013-01-22,5.2,5.2,4.93,5.0,5.0,132300
2013-01-23,5.01,5.01,4.93,5.0,5.0,68200
2013-01-24,5.0,5.0,4.87,4.9,4.9,74700
2013-01-25,4.94,4.95,4.7,4.76,4.76,150300
2013-01-28,4.79,4.83,4.75,4.79,4.79,128200
2013-01-29,4.79,4.8,4.76,4.8,4.8,88800
2013-01-30,4.8,4.8,4.75,4.8,4.8,53500
2013-01-31,4.85,4.85,4.75,4.8,4.8,70000
2013-02-01,4.85,5.02,4.8,5.0,5.0,151200
2013-02-04,5.08,5.11,4.99,5.0,5.0,75100
2013-02-05,5.07,5.07,4.97,5.0,5.0,104100
2013-02-06,5.08,5.08,4.6,4.65,4.65,666800
2013-02-07,4.74,4.76,4.48,4.55,4.55,214000
2013-02-08,4.55,4.6,4.2,4.57,4.57,256800
2013-02-11,4.57,4.57,4.42,4.47,4.47,53400
2013-02-12,4.5,4.5,4.4,4.44,4.44,38000
2013-02-13,4.44,4.44,4.35,4.36,4.36,213600
2013-02-14,4.37,4.41,4.35,4.4,4.4,59000
2013-02-15,4.39,4.4,4.25,4.27,4.27,80200
2013-02-19,4.34,4.35,4.06,4.35,4.35,136800
2013-02-20,4.34,4.35,4.15,4.25,4.25,58600
2013-02-21,4.18,4.25,4.05,4.05,4.05,64300
2013-02-22,4.06,4.14,3.85,4.06,4.06,583700
2013-02-25,4.06,4.13,4.06,4.1,4.1,60400
2013-02-26,4.1,4.18,4.08,4.1,4.1,220300
2013-02-27,4.1,4.21,4.1,4.21,4.21,323300
2013-02-28,4.2,4.24,4.13,4.18,4.18,160600
2013-03-01,4.16,4.16,4.0,4.05,4.05,387500
2013-03-04,4.06,4.09,4.0,4.05,4.05,52000
2013-03-05,4.09,4.1,4.01,4.04,4.04,451400
2013-03-06,4.05,4.25,4.05,4.2,4.2,472600
2013-03-07,4.45,4.45,4.33,4.35,4.35,723300
2013-03-08,4.4,4.42,4.35,4.38,4.38,550000
2013-03-11,4.49,4.49,4.38,4.47,4.47,180700
2013-03-12,4.52,4.69,4.5,4.52,4.52,298000
2013-03-13,4.65,4.65,4.45,4.48,4.48,192600
2013-03-14,4.55,4.55,4.37,4.4,4.4,247400
2013-03-15,4.4,4.45,4.36,4.37,4.37,180700
2013-03-18,4.45,4.52,4.31,4.31,4.31,115200
2013-03-19,4.35,4.43,4.31,4.32,4.32,121600
2013-03-20,4.32,4.68,4.32,4.59,4.59,778800
2013-03-21,4.7,4.7,4.58,4.6,4.6,219700
2013-03-22,4.67,4.67,4.6,4.63,4.63,485400
2013-03-25,4.63,4.63,4.45,4.45,4.45,256800
2013-03-26,4.53,4.61,4.36,4.36,4.36,206300
