date,open,high,low,close,adjusted_close,volume
1992-05-19,1.1175,1.1175,1.0576339285714285,1.1175,1.1175,18095200
1992-05-20,1.127526134237288,1.1873939308474577,1.1175322033898305,1.1774,1.1774,3995200
1992-05-21,1.1774,1.1873939308474577,1.147482066440678,1.1774,1.1774,1164800
1992-05-22,1.177388524590164,1.2173,1.177388524590164,1.2173,1.2173,729600
1992-05-26,1.217255,1.217255,1.187338464,1.1973,1.1973,668800
1992-05-27,1.1973,1.227248464,1.177345,1.1973,1.1973,673600
1992-05-28,1.197344262295082,1.2173,1.197344262295082,1.2173,1.2173,544800
1992-05-29,1.2072901108465812,1.2671549445767094,1.2072901108465812,1.2472,1.2472,292800
1992-06-01,1.2571453124999998,1.3170093749999998,1.2471839324999998,1.2771,1.2771,1489600
1992-06-02,1.2771066405377918,1.2970614317961946,1.2671452087415969,1.2871,1.2871,1423200
1992-06-03,1.2771555555555556,1.287149297777778,1.2472381866666666,1.2572,1.2572,1146400
1992-06-04,1.2572,1.267193742222222,1.2472381866666666,1.2572,1.2572,408800
1992-06-05,1.2672,1.2672,1.2572062084257207,1.2672,1.2672,491200
1992-06-08,1.267193742222222,1.267193742222222,1.2372444444444446,1.2572,1.2572,701600
1992-06-09,1.2672116759456789,1.2672116759456789,1.197350278370363,1.2273,1.2273,880000
1992-06-10,1.2173061163432022,1.2273,1.2073441620271608,1.2273,1.2273,448800
1992-06-11,1.2372,1.2571548387096776,1.2272385445161291,1.2372,1.2372,208800
1992-06-12,1.2572,1.2771555555555556,1.2472381866666666,1.2572,1.2572,518400
1992-06-15,1.237250554323725,1.2871556541019955,1.237250554323725,1.2672,1.2672,380000
1992-06-16,1.2771736302617205,1.2771736302617205,1.2173061163432022,1.2273,1.2273,216000
1992-06-17,1.2471933832258066,1.2571548387096776,1.2272385445161291,1.2372,1.2372,816800
1992-06-18,1.2472558379728391,1.2472558379728391,1.2273,1.2273,1.2273,220800
1992-06-19,1.2173061163432022,1.2273,1.2173061163432022,1.2273,1.2273,192800
1992-06-22,1.2372,1.2471933832258066,1.2072837058064516,1.2372,1.2372,954400
1992-06-23,1.2572,1.2771555555555556,1.2472381866666666,1.2572,1.2572,1403200
1992-06-24,1.2571453124999998,1.2771,1.2371906249999998,1.2771,1.2771,1368800
1992-06-25,1.2771,1.2970546874999995,1.26713862,1.2771,1.2771,462400
1992-06-26,1.2671828873846152,1.2971,1.2671828873846152,1.2971,1.2971,803200
1992-06-29,1.3071262588235293,1.376955882352941,1.3071262588235293,1.357,1.357,295200
1992-06-30,1.3369712328767125,1.4567,1.3369712328767125,1.4567,1.4567,545600
1992-07-01,1.4766894736842104,1.5265935957894736,1.3869067536842103,1.5166,1.5166,2180000
1992-07-02,1.5166108108108107,1.5266044778378378,1.4667382616216216,1.4767,1.4767,1099200
1992-07-06,1.4866452445537002,1.5066,1.4866452445537002,1.5066,1.5066,1457600
1992-07-07,1.4967,1.5066939647999995,1.4967,1.4967,1.4967,692800
1992-07-08,1.4767174982896742,1.486711283737559,1.4068887162624413,1.4468,1.4468,1060800
1992-07-09,1.4766894736842104,1.5365552631578947,1.4766894736842104,1.5166,1.5166,1344000
1992-07-10,1.516632911392405,1.5765,1.516632911392405,1.5765,1.5765,881600
1992-07-13,1.5764551282051282,1.5764551282051282,1.5265832717948715,1.5565,1.5565,387200
1992-07-14,1.5565105263157897,1.5565105263157897,1.4966447368421052,1.5166,1.5166,321600
1992-07-15,1.4967,1.5166559999999998,1.4667819647999998,1.4967,1.4967,313600
1992-07-16,1.5066,1.5066,1.4666904891074002,1.5066,1.5066,717600
1992-07-17,1.5066939647999995,1.5066939647999995,1.4967,1.4967,1.4967,39200
1992-07-20,1.496609589041096,1.496609589041096,1.4567,1.4567,1.4567,44800
1992-07-21,1.4567,1.4666933610958903,1.4567,1.4567,1.4567,304000
1992-07-22,1.4368,1.4667492977777778,1.4368,1.4368,1.4368,506400
1992-07-23,1.4368,1.4567555555555556,1.4168444444444446,1.4368,1.4368,584000
1992-07-24,1.4367615467239527,1.45671656820623,1.4168065252416755,1.4268,1.4268,446400
1992-07-27,1.4467385665753425,1.476654794520548,1.4467385665753425,1.4567,1.4567,310400
1992-07-28,1.4667,1.4766614785145196,1.4167968239801472,1.4667,1.4667,960800
1992-07-29,1.4667278063157894,1.5265935957894736,1.4667278063157894,1.5166,1.5166,1070400
1992-07-30,1.5066383326315789,1.5166,1.4966447368421052,1.5166,1.5166,618400
1992-07-31,1.516552087204261,1.5465,1.516552087204261,1.5465,1.5465,500000
1992-08-03,1.546528464,1.616355,1.546528464,1.5964,1.5964,260000
1992-08-04,1.606427410120482,1.6762554216867471,1.606427410120482,1.6563,1.6563,676000
1992-08-05,1.65624248561863,1.7261,1.6462810850304277,1.7261,1.7261,204800
1992-08-06,1.7061936112941174,1.7261489054117645,1.6762447058823529,1.6962,1.6962,551200
1992-08-07,1.6762344827586206,1.7460935503448276,1.6762344827586206,1.7361,1.7361,625600
1992-08-10,1.7360642857142856,1.7360642857142856,1.6163357142857142,1.6762,1.6762,549600
