date,open,high,low,close,adjusted_close,volume
2020-09-02,25.2,25.345,24.53,24.67,24.67,201700
2020-09-03,24.9,24.92,23.26,23.71,23.71,90900
2020-09-04,23.92,23.98,22.35,23.77,23.77,93400
2020-09-08,23.8,24.194,21.97,22.75,22.75,88000
2020-09-09,22.85,23.05,22.65,22.7,22.7,54000
2020-09-10,23.15,23.15,22.3,22.37,22.37,36300
2020-09-11,22.64,22.64,22.02,22.201,22.201,19400
2020-09-14,22.48,22.56,22.29,22.29,22.29,28300
2020-09-15,22.75,22.75,22.199,22.215,22.215,15300
2020-09-16,22.58,22.9,22.415,22.73,22.73,60200
2020-09-17,22.63,22.63,22.22,22.475,22.475,24200
2020-09-18,22.93,22.96,22.06,22.322,22.322,43400
2020-09-21,22.04,22.1,21.48,21.745,21.745,43900
2020-09-22,21.685,22.22,21.685,22.11,22.11,33600
2020-09-23,22.0,22.08,21.13,21.13,21.13,33100
2020-09-24,21.21,21.21,20.45,20.88,20.88,97200
2020-09-25,20.852,21.43,20.81,21.36,21.36,47400
2020-09-28,21.65,21.83,21.523,21.76,21.76,63000
2020-09-29,21.84,22.05,21.819,21.89,21.89,35300
2020-09-30,22.08,22.18,21.83,21.89,21.89,28800
2020-10-01,21.9,22.08,21.74,21.775,21.775,24000
2020-10-02,21.95,21.95,21.44,21.848,21.848,30800
2020-10-05,22.05,22.18,21.97,22.099,22.099,34700
2020-10-06,22.2,22.368,21.87,21.919,21.919,94300
2020-10-07,22.13,22.839,22.13,22.77,22.77,44100
2020-10-08,23.06,24.13,23.06,24.13,24.13,169300
2020-10-09,24.61,25.25,24.59,25.09,25.09,211500
2020-10-12,25.43,25.829,25.353,25.58,25.58,120100
2020-10-13,25.65,25.869,25.0,25.78,25.78,68400
2020-10-14,25.85,26.09,25.35,25.45,25.45,116100
2020-10-15,25.23,25.29,25.0,25.22,25.22,39500
2020-10-16,25.4,25.64,25.3,25.36,25.36,62900
2020-10-19,25.59,25.74,25.34,25.4,25.4,61800
2020-10-20,25.55,25.91,25.525,25.8,25.8,66300
2020-10-21,25.84,26.09,25.51,26.01,26.01,141400
2020-10-22,26.12,26.24,25.591,26.18,26.18,81100
2020-10-23,26.31,26.31,26.0,26.29,26.29,69200
2020-10-26,26.38,26.38,25.01,25.33,25.33,91400
2020-10-27,25.21,25.505,25.21,25.32,25.32,30700
2020-10-28,25.0,25.0,24.3,24.3,24.3,69600
2020-10-29,24.535,25.22,24.3,25.17,25.17,46800
2020-10-30,25.13,25.13,24.7,25.04,25.04,56400
2020-11-02,25.31,26.5,25.3,26.45,26.45,116800
2020-11-03,27.0,27.0,26.41,26.55,26.55,202300
2020-11-04,26.39,27.4,26.32,26.82,26.82,214800
2020-11-05,27.36,28.9,27.28,28.89,28.89,230200
2020-11-06,29.26,30.135,29.0,29.69,29.69,278600
2020-11-09,31.85,31.99,29.35,29.44,29.44,316100
2020-11-10,29.18,29.29,28.55,29.29,29.29,117900
2020-11-11,29.59,29.59,28.794,29.27,29.27,221700
2020-11-12,29.22,29.9,29.07,29.33,29.33,224200
2020-11-13,29.62,29.8,29.37,29.79,29.79,165700
2020-11-16,30.08,30.27,29.76,30.22,30.22,183100
2020-11-17,30.0,30.4,29.58,30.32,30.32,198800
2020-11-18,30.5,31.12,30.12,30.24,30.24,286700
2020-11-19,30.25,30.603,29.89,30.24,30.24,221500
2020-11-20,30.14,30.184,29.36,29.41,29.41,166600
2020-11-23,29.49,29.99,29.42,29.84,29.84,870500
2020-11-24,30.5,30.855,30.42,30.6,30.6,685800
2020-11-25,30.64,31.86,30.2,31.69,31.69,454800
2020-11-27,31.98,32.68,31.84,32.68,32.68,366600
2020-11-30,32.97,33.92,32.42,33.82,33.82,486100
2020-12-01,34.06,34.4,33.18,33.49,33.49,265500
2020-12-02,33.38,33.984,33.02,33.78,33.78,222300
2020-12-03,34.0,34.48,33.66,33.92,33.92,386200
2020-12-04,33.89,34.985,33.89,34.95,34.95,331000
2020-12-07,35.13,35.54,34.39,34.47,34.47,375400
2020-12-08,34.0,34.52,33.66,34.25,34.25,373700
2020-12-09,34.28,34.56,33.47,33.7,33.7,218900
2020-12-10,33.74,34.18,33.47,34.05,34.05,131800
2020-12-11,34.08,34.53,33.96,34.08,34.08,153800
2020-12-14,34.57,34.65,33.76,33.84,33.84,142600
2020-12-15,33.84,34.19,33.71,34.0,34.0,165000
2020-12-16,34.71,35.18,34.05,35.17,35.17,265900
2020-12-17,35.36,35.5,35.0,35.45,35.45,196000
2020-12-18,35.44,35.6,35.15,35.6,35.6,178500
2020-12-21,35.12,35.4,34.5,35.29,35.29,259300
2020-12-22,35.5,35.88,35.2,35.81,35.81,186800
2020-12-23,35.82,36.2,35.77,36.12,36.12,115800
2020-12-24,36.04,36.57,36.04,36.52,36.52,96800
2020-12-28,37.39,38.9,37.0,37.62,37.62,545200
2020-12-29,38.35,38.733,36.1,36.31,36.31,737000
2020-12-30,36.44,36.61,36.31,36.58,36.58,210900
2020-12-31,36.58,36.94,36.1,36.5,36.5,265900
2021-01-04,36.84,37.85,36.59,37.79,37.79,550200
2021-01-05,37.33,38.57,37.33,38.24,38.24,633100
2021-01-06,41.47,42.2,40.3,40.61,40.61,1890200
2021-01-07,43.0,43.11,41.11,41.76,41.76,1395800
2021-01-08,41.96,42.35,40.62,41.42,41.42,860000
2021-01-11,41.43,43.34,41.25,43.14,43.14,1174200
2021-01-12,43.3,43.69,42.88,43.1,43.1,1250900
2021-01-13,43.31,45.33,43.31,45.27,45.27,1409700
2021-01-14,45.82,47.55,45.81,46.04,46.04,1275400
2021-01-15,47.06,47.25,44.4,45.18,45.18,963700
2021-01-19,45.59,46.06,44.5,45.15,45.15,590100
2021-01-20,45.46,45.99,45.33,45.57,45.57,606900
2021-01-21,45.82,46.0,45.18,45.98,45.98,399300
2021-01-22,45.73,45.96,44.82,45.89,45.89,464000
2021-01-25,46.09,46.49,44.87,45.26,45.26,513800
2021-01-26,45.35,45.435,43.42,43.57,43.57,963100
2021-01-27,42.73,42.74,40.326,41.01,41.01,1712200
2021-01-28,41.09,42.5,41.01,42.19,42.19,533500
2021-01-29,42.19,43.09,41.1,41.79,41.79,1071600
2021-02-01,42.25,43.5,41.9,43.42,43.42,652000
2021-02-02,43.98,45.9,43.944,45.8,45.8,1148400
2021-02-03,47.41,48.46,46.6,47.16,47.16,1855100
2021-02-04,48.07,49.0,47.3,49.0,49.0,1153500
2021-02-05,49.63,50.09,49.034,49.25,49.25,1051000
2021-02-08,50.01,51.49,50.01,51.38,51.38,1120600
2021-02-09,52.09,53.469,52.09,52.96,52.96,1460400
2021-02-10,55.04,55.91,52.25,55.05,55.05,2289700
2021-02-11,54.73,54.73,50.5,51.48,51.48,2919300
2021-02-12,51.01,53.239,50.61,51.72,51.72,1333200
2021-02-16,52.44,53.45,52.4,52.94,52.94,1104800
2021-02-17,52.77,52.939,50.52,51.52,51.52,1115000
2021-02-18,51.51,51.52,49.57,49.76,49.76,1010700
2021-02-19,50.43,52.21,50.25,51.94,51.94,834700
2021-02-22,51.66,51.774,50.57,51.0,51.0,790300
2021-02-23,49.7,50.675,46.28,50.62,50.62,2219000
2021-02-24,50.68,51.08,50.1,50.47,50.47,845000
2021-02-25,50.5,50.75,47.61,48.33,48.33,1539700
2021-02-26,48.34,48.799,46.35,47.89,47.89,1378400
2021-03-01,48.96,50.7,48.64,48.95,48.95,2094200
2021-03-02,49.28,50.25,49.07,50.05,50.05,1318900
2021-03-03,50.11,50.465,48.63,48.84,48.84,1469600
2021-03-04,48.84,48.98,43.75,45.95,45.95,2606600
2021-03-05,46.16,46.5,40.8,44.85,44.85,2272500
2021-03-08,45.08,45.554,42.69,42.9,42.9,1190100
2021-03-09,43.89,45.72,43.84,45.66,45.66,1802000
