date,open,high,low,close,adjusted_close,volume
2017-04-28,400.0,406.0,385.0,400.2,400.2,228884
2017-05-01,391.2,419.78,391.2,409.0,409.0,9559
2017-05-02,410.2,413.768,407.008,410.2,410.2,5547
2017-05-03,409.4,420.4,404.22,414.2,414.2,15045
2017-05-04,413.2,426.19999999999993,400.6,400.6,400.6,14036
2017-05-05,408.80000000000007,408.80000000000007,399.50000000000006,400.8,400.8,2468
2017-05-08,400.6,430.0,400.6,426.4,426.4,3467
2017-05-09,429.4,439.4,404.0,423.2,423.2,5590
2017-05-10,423.4000000000001,431.6,414.6,416.8,416.8,2080
2017-05-11,419.2,438.8,419.2,419.4,419.4,7633
2017-05-12,420.2,420.6,414.2,417.4,417.4,838
2017-05-15,418.2,431.6,414.5,422.8,422.8,4596
2017-05-16,420.6,449.4,420.6,437.0,437.0,24647
2017-05-17,426.0,461.7,426.0,457.2,457.2,4132
2017-05-18,457.00000000000006,485.00000000000006,446.00000000000006,457.6,457.6,3807
2017-05-19,449.0,488.3,446.00000000000006,481.8,481.8,7526
2017-05-22,489.0,489.0,470.8,480.0,480.0,5217
2017-05-23,463.4,493.5,446.7,481.4,481.4,9059
2017-05-24,482.0,517.4,467.5,495.4,495.4,8417
2017-05-25,500.0,537.1999999999999,480.6,504.4,504.4,9098
2017-05-26,509.0,564.0,497.2,540.8,540.8,15142
2017-05-30,542.0,581.4,506.4,522.4,522.4,13311
2017-05-31,522.8,535.0,490.0,524.8,524.8,12165
2017-06-01,529.8000000000001,557.0000000000001,517.6,528.2,528.2,7828
2017-06-02,527.1999999999999,529.1999999999999,506.5,519.4,519.4,8187
2017-06-05,528.8,536.0,505.0,521.0,521.0,5488
2017-06-06,508.6,530.0,502.80000000000007,519.6,519.6,6858
2017-06-07,520.4,525.4,486.0,502.0,502.0,5992
2017-06-08,498.8,521.4,490.2,515.4,515.4,10972
2017-06-09,514.0,520.8,500.0,515.8,515.8,6026
2017-06-12,516.0000000000001,528.76,501.00000000000006,524.6,524.6,8520
2017-06-13,526.0,532.8,515.84,523.4,523.4,4913
2017-06-14,523.4000000000001,525.8000000000001,503.2000000000001,518.0,518.0,4611
2017-06-15,512.1999999999999,517.9999999999999,494.0,498.4,498.4,4195
2017-06-16,494.8,502.00000000000006,460.4,464.6,464.6,39322
2017-06-19,466.0,489.2,457.366,482.4,482.4,4045
2017-06-20,481.0,485.0,461.0,482.2,482.2,3229
2017-06-21,482.2000000000001,482.2000000000001,431.8,441.2,441.2,14629
2017-06-22,440.00000000000006,460.00000000000006,436.2,439.8,439.8,11573
2017-06-23,441.4,459.4,439.6,453.8,453.8,69054
2017-06-26,450.2,454.9,431.8,441.4,441.4,6031
2017-06-27,439.4,473.0,437.2,460.0,460.0,10149
2017-06-28,451.3,487.6,451.3,470.0,470.0,4095
2017-06-29,475.6,493.2,475.6,488.4,488.4,4808
2017-06-30,500.2000000000001,507.1,467.80000000000007,503.6,503.6,6171
2017-07-03,505.6000000000001,519.2,505.36000000000007,513.2,513.2,2376
2017-07-05,517.8000000000001,517.8000000000001,488.80000000000007,496.8,496.8,4351
2017-07-06,494.8,494.8,446.8,460.4,460.4,7133
2017-07-07,460.4,469.8,454.0,455.6,455.6,2743
2017-07-10,455.00000000000006,489.8,430.74,488.0,488.0,2680
2017-07-11,484.8,489.2,449.62,460.6,460.6,5423
2017-07-12,463.0,466.0,451.0,458.2,458.2,5727
2017-07-13,458.8,470.1,447.2,458.8,458.8,8460
2017-07-14,456.6,469.24,454.0,462.4,462.4,2838
2017-07-17,463.6,483.8,452.0,457.0,457.0,5426
2017-07-18,458.2,463.6,446.6,452.8,452.8,5896
2017-07-19,454.2000000000001,466.6,453.80000000000007,463.6,463.6,2274
2017-07-20,467.4,482.00000000000006,455.6000000000001,474.8,474.8,9390
2017-07-21,479.0,479.0,434.62000000000006,451.8,451.8,8063
2017-07-24,451.8,471.6,428.4000000000001,438.0,438.0,7060
2017-07-25,439.4,464.2,428.802,445.2,445.2,6888
2017-07-26,446.6,478.4,428.4,445.0,445.0,2859
2017-07-27,445.6000000000001,456.2,426.06000000000006,441.2,441.2,4425
2017-07-28,439.8,462.6,420.2,440.6,440.6,5934
2017-07-31,443.80000000000007,455.4,432.80000000000007,449.0,449.0,4702
2017-08-01,451.8,451.8,404.2000000000001,418.0,418.0,8472
2017-08-02,420.00000000000006,440.4,415.6000000000001,418.6,418.6,8519
2017-08-03,420.6,423.2,408.2,420.0,420.0,3849
2017-08-04,417.0,436.19999999999993,417.0,434.4,434.4,2488
2017-08-07,435.4,435.4,416.19999999999993,427.8,427.8,4221
2017-08-08,454.7000000000001,454.7000000000001,418.628,426.2,426.2,5234
2017-08-09,426.0,433.25,413.6,427.8,427.8,8951
2017-08-10,431.00000000000006,444.4,416.8,436.8,436.8,6700
2017-08-11,436.8,445.0,429.0,437.2,437.2,5046
2017-08-14,440.4,448.80000000000007,430.6000000000001,440.8,440.8,2756
2017-08-15,437.8,442.7,430.0,432.4,432.4,3990
2017-08-16,430.0,439.8,427.2,432.2,432.2,6210
2017-08-17,430.0,432.2,397.8,400.6,400.6,4335
2017-08-18,397.8,407.2,396.0,398.8,398.8,8099
2017-08-21,397.0,400.0,385.19999999999993,388.4,388.4,2718
2017-08-22,389.0,397.2000000000001,370.4,384.8,384.8,4004
2017-08-23,382.0,391.6,363.4,382.2,382.2,4199
2017-08-24,382.6,394.6,374.4,391.4,391.4,4949
2017-08-25,389.4,399.6,383.1000000000001,396.6,396.6,1752
2017-08-28,399.0,415.00000000000006,382.6,391.8,391.8,3624
2017-08-29,393.0,395.4,378.4,392.2,392.2,3143
2017-08-30,391.0,392.0,378.4,381.0,381.0,3390
2017-08-31,434.8,434.8,386.0,395.2,395.2,7946
2017-09-01,400.0,414.0,386.4,400.2,400.2,3854
2017-09-05,404.0,407.4,386.00000000000006,399.6,399.6,3613
2017-09-06,403.6,419.8,397.00000000000006,413.0,413.0,5782
2017-09-07,416.8,434.0,416.304,426.2,426.2,2570
2017-09-08,428.4,428.4,405.2,407.8,407.8,1829
2017-09-11,404.8,417.00000000000006,400.00000000000006,412.6,412.6,1855
2017-09-12,412.0,424.2,412.0,420.2,420.2,1242
2017-09-13,418.0,432.4380000000001,418.0,429.6,429.6,3895
2017-09-14,433.72,438.0,427.00000000000006,434.8,434.8,2627
2017-09-15,435.00000000000006,458.80000000000007,430.8,444.6,444.6,8515
