date,open,high,low,close,adjusted_close,volume
2020-02-27,28.0,29.895,25.6,26.1,26.1,267382
2020-02-28,25.7,31.445,24.01,29.6,29.6,189224
2020-03-02,32.0,32.0,29.0,29.675,29.675,202118
2020-03-03,30.0,34.495,29.785,33.99,33.99,167453
2020-03-04,32.005,37.89,32.005,33.8,33.8,307449
2020-03-05,33.8,33.8,31.0,32.0,32.0,86250
2020-03-06,32.0,32.0,29.005,30.2,30.2,61807
2020-03-09,21.625,25.0,21.0,21.005,21.005,372469
2020-03-10,22.0,23.395,20.0,20.75,20.75,181842
2020-03-11,22.0,22.0,18.6,20.0,20.0,105638
2020-03-12,16.0,18.9,15.0,15.994,15.994,80291
2020-03-13,15.5,16.996,14.5,14.99,14.99,171863
2020-03-16,14.5,14.5,12.102,14.0,14.0,145942
2020-03-17,14.98,14.98,12.5,13.0,13.0,48856
2020-03-18,11.508,12.998,10.982,11.406,11.406,85141
2020-03-19,11.11,12.434,10.206,11.0,11.0,67983
2020-03-20,11.5,12.0,9.844,10.1,10.1,323624
2020-03-23,9.9,9.9,9.2,9.5,9.5,138008
2020-03-24,10.88,10.88,9.6,10.0,10.0,118373
2020-03-25,10.88,10.88,9.5,9.7,9.7,59655
2020-03-26,10.0,10.788,9.711,9.802,9.802,57502
2020-03-27,10.5,10.5,9.52,9.699,9.699,21660
2020-03-30,10.0,10.4,8.0,9.0,9.0,151851
2020-03-31,9.0,9.8,8.549,8.9,8.9,159396
2020-04-01,8.999,9.249,8.521,8.9,8.9,24310
2020-04-02,9.2,9.2,8.401,8.595,8.595,321805
2020-04-03,8.7,9.35,8.1,8.1,8.1,627804
2020-04-06,8.199,8.799,7.7,8.389,8.389,274034
2020-04-07,8.69,9.889,8.5,9.3,9.3,173692
2020-04-08,9.3,10.88,9.2,9.25,9.25,125497
2020-04-14,9.5,10.798,8.6,8.75,8.75,198149
2020-04-15,8.499,8.6,8.0,8.02,8.02,112780
2020-04-16,8.02,8.2,7.832,7.85,7.85,66891
2020-04-17,9.5,9.5,7.6,7.6,7.6,191016
2020-04-20,7.6,8.0,6.72,6.754,6.754,294388
2020-04-21,6.55,6.844,6.0,6.22,6.22,187711
2020-04-22,6.2,6.699,5.794,6.2,6.2,299542
2020-04-23,6.6,6.8,6.3,6.65,6.65,209235
2020-04-24,7.02,7.499,6.682,6.9,6.9,271144
2020-04-27,6.9,7.3,6.701,7.1,7.1,255331
2020-04-28,7.6,7.6,6.82,7.0,7.0,228992
2020-04-29,7.25,7.449,7.1,7.44,7.44,212179
2020-04-30,6.999,7.25,6.4,7.0,7.0,443336
2020-05-04,6.9,6.9,6.52,6.9,6.9,98355
2020-05-05,6.52,6.799,6.52,6.7,6.7,118406
2020-05-06,6.525,6.6,6.35,6.406,6.406,83308
2020-05-07,6.21,6.498,6.21,6.3,6.3,151326
2020-05-08,6.15,6.3,5.7,6.0,6.0,152394
2020-05-11,6.05,6.749,6.05,6.2,6.2,136198
2020-05-12,6.01,6.399,6.01,6.3,6.3,47575
2020-05-13,6.32,6.32,5.98,6.108,6.108,55900
2020-05-14,6.05,6.299,5.88,6.21,6.21,170836
2020-05-15,6.21,6.596,5.9,6.146,6.146,89191
2020-05-18,6.0,6.489,6.0,6.199,6.199,74349
2020-05-19,6.48,6.48,6.12,6.15,6.15,68452
2020-05-20,6.0,6.477,6.0,6.111,6.111,327958
2020-05-22,6.153,6.299,6.0,6.15,6.15,153388
2020-05-25,6.3,7.238,6.3,6.983,6.983,380770
2020-05-26,7.2,7.567,7.05,7.17,7.17,325611
2020-05-27,7.6,8.395,7.3,7.699,7.699,196236
2020-05-28,8.35,8.35,7.31,7.6,7.6,158721
2020-05-29,7.3,7.89,6.4,6.5,6.5,387250
2020-06-02,7.2,7.2,6.2,6.348,6.348,109683
2020-06-03,6.2,6.6,6.0,6.0,6.0,461810
2020-06-04,6.0,6.279,5.9,5.927,5.927,197618
2020-06-05,6.001,7.145,5.928,7.0,7.0,787106
2020-06-08,8.0,9.489,8.0,8.999,8.999,1217405
2020-06-09,9.6,11.0,8.4,8.4,8.4,1259978
2020-06-10,8.8,8.92,7.761,7.889,7.889,479390
2020-06-11,7.5,7.5,6.7,6.71,6.71,647288
2020-06-12,6.4,7.679,6.222,6.7,6.7,517274
2020-06-15,6.45,6.599,6.3,6.31,6.31,301939
2020-06-16,6.6,7.0,6.5,6.7,6.7,600593
2020-06-17,6.7,6.7,6.301,6.4,6.4,763219
2020-06-18,6.4,6.646,6.133,6.351,6.351,314492
2020-06-19,6.63,6.9,6.46,6.73,6.73,313859
2020-06-22,6.78,6.89,6.5,6.672,6.672,305405
2020-06-23,6.624,7.06,6.624,6.7,6.7,469858
2020-06-24,7.4,7.4,6.451,6.46,6.46,295505
2020-06-25,6.451,6.451,6.2,6.3,6.3,295376
2020-06-26,6.63,6.63,6.23,6.25,6.25,253774
2020-06-29,6.25,6.496,5.982,6.0,6.0,445617
2020-06-30,6.15,6.22,5.83,5.9,5.9,419731
2020-07-01,6.0,6.297,5.9,5.999,5.999,331373
2020-07-02,5.8,6.1,5.75,5.999,5.999,348848
2020-07-03,6.286,6.286,5.67,5.74,5.74,431869
2020-07-06,5.701,5.949,5.5,5.63,5.63,353230
2020-07-07,5.466,5.695,5.18,5.23,5.23,674000
2020-07-08,5.19,5.399,5.102,5.2,5.2,222391
2020-07-09,5.221,5.221,5.024,5.03,5.03,279123
2020-07-10,4.97,5.186,4.9105,5.0,5.0,329959
2020-07-13,5.55,5.55,5.05,5.13,5.13,309475
2020-07-14,5.2,5.79,5.18,5.3,5.3,237679
2020-07-15,5.59,5.59,5.25,5.3,5.3,270306
2020-07-16,5.3,5.56,5.25,5.35,5.35,83071
2020-07-17,5.49,5.49,5.15,5.2,5.2,109070
2020-07-20,5.6,5.6,5.15,5.26,5.26,197049
2020-07-21,5.3,5.54,5.16,5.54,5.54,151885
2020-07-22,5.55,5.79,5.45,5.62,5.62,62263
2020-07-23,5.79,5.98,5.5,5.98,5.98,94802
2020-07-24,6.18,6.6,5.61,6.3,6.3,179435
2020-07-27,6.6,6.6,6.11,6.33,6.33,64511
2020-07-28,6.15,6.54,6.14,6.4,6.4,90743
2020-07-29,6.3,6.49,6.01,6.39,6.39,66815
2020-07-30,6.58,6.58,5.71,5.87,5.87,269725
2020-07-31,6.0,6.23,5.76,6.1,6.1,87403
2020-08-03,6.19,6.46,5.91,6.44,6.44,140974
2020-08-04,6.39,6.89,6.39,6.84,6.84,201617
2020-08-05,6.94,7.8,6.92,7.6,7.6,354883
2020-08-06,7.61,7.79,7.17,7.79,7.79,271500
2020-08-07,7.25,7.57,7.0,7.37,7.37,252645
2020-08-10,7.42,7.69,7.19,7.59,7.59,99979
2020-08-11,7.66,7.79,7.53,7.75,7.75,87815
2020-08-12,7.74,7.74,7.22,7.5,7.5,87548
2020-08-13,7.46,7.71,7.35,7.49,7.49,36726
2020-08-14,7.58,7.58,7.28,7.46,7.46,135873
2020-08-17,7.4,7.49,7.37,7.37,7.37,11559
2020-08-18,7.37,7.65,7.26,7.49,7.49,117338
2020-08-19,7.49,7.56,7.3,7.42,7.42,36536
2020-08-20,7.4,7.4,7.2,7.24,7.24,71323
2020-08-21,7.3,7.34,7.0,7.0,7.0,121377
2020-08-24,7.11,7.2,6.8,7.13,7.13,95983
2020-08-25,7.2,7.2,6.8,6.95,6.95,124201
2020-08-26,6.81,6.91,6.62,6.8,6.8,87255
2020-08-27,7.35,7.35,6.68,6.72,6.72,88238
2020-08-28,6.99,7.0,6.27,6.45,6.45,264828
2020-08-31,6.4,6.88,6.4,6.65,6.65,94742
2020-09-01,6.65,6.7,6.12,6.44,6.44,162099
2020-09-02,6.34,6.38,6.0,6.02,6.02,109234
2020-09-03,6.0,6.29,5.82,6.1,6.1,93949
2020-09-04,6.45,6.6,6.0,6.01,6.01,384358
2020-09-07,6.1,6.37,5.92,5.96,5.96,118294
2020-09-08,6.14,6.14,5.57,5.79,5.79,212710
2020-09-09,5.75,5.84,5.47,5.82,5.82,316273
2020-09-10,5.99,6.0,5.8,5.9,5.9,70239
2020-09-11,6.1,6.17,5.82,5.91,5.91,127522
2020-09-14,6.2,6.24,5.9,5.91,5.91,143092
2020-09-15,6.0,6.2,5.92,6.2,6.2,121854
2020-09-16,6.3,6.3,6.12,6.3,6.3,145127
2020-09-17,6.18,6.5,6.17,6.49,6.49,131137
2020-09-18,6.68,6.7,6.29,6.7,6.7,114221
2020-09-21,6.79,6.79,5.98,6.17,6.17,334087
2020-09-22,6.13,6.24,6.0,6.05,6.05,192982
2020-09-23,6.17,6.29,6.02,6.25,6.25,87586
2020-09-24,6.0,6.5,6.0,6.14,6.14,85704
2020-09-25,6.1,6.48,6.1,6.19,6.19,152156
2020-09-28,6.34,6.47,6.02,6.08,6.08,206086
2020-09-29,6.25,6.4,6.08,6.15,6.15,25651
2020-09-30,6.15,6.45,6.15,6.4,6.4,247769
2020-10-01,6.49,6.49,6.1,6.16,6.16,66939
2020-10-02,6.08,6.19,5.85,5.88,5.88,171556
2020-10-05,5.88,6.19,5.85,6.09,6.09,197809
2020-10-06,6.38,6.38,5.92,6.19,6.19,78064
2020-10-07,6.29,6.4,6.08,6.4,6.4,101129
2020-10-08,6.51,6.68,6.3,6.56,6.56,209775
2020-10-09,6.64,6.64,6.26,6.4,6.4,108364
2020-10-12,6.5,6.5,6.15,6.15,6.15,121795
2020-10-13,6.21,6.39,6.06,6.12,6.12,247867
2020-10-14,6.38,6.38,6.12,6.12,6.12,344072
2020-10-15,6.12,6.39,5.9,6.02,6.02,148910
2020-10-16,6.0,6.14,5.93,6.14,6.14,177814
2020-10-19,6.0,6.12,5.88,6.06,6.06,133691
2020-10-20,6.0,6.08,5.72,5.75,5.75,145627
2020-10-21,5.76,5.8,5.4,5.44,5.44,218144
2020-10-22,5.25,5.72,5.23,5.25,5.25,121970
2020-10-23,5.2,5.72,5.2,5.3,5.3,183136
2020-10-26,5.3,5.38,5.06,5.11,5.11,179503
2020-10-27,5.2,5.22,4.945,5.1,5.1,311690
2020-10-28,5.1,5.1,4.9,4.93,4.93,133232
2020-10-29,4.88,5.67,4.8,5.31,5.31,244163
2020-10-30,5.25,5.25,4.96,5.04,5.04,52722
2020-11-02,5.04,5.24,4.91,5.12,5.12,109352
2020-11-03,5.0,5.35,5.0,5.04,5.04,223559
2020-11-04,5.0,5.1,4.91,5.0,5.0,222683
2020-11-05,5.23,5.23,4.91,4.95,4.95,377517
2020-11-06,5.1,5.1,4.9,4.975,4.975,51926
2020-11-09,5.02,5.38,5.02,5.22,5.22,697958
2020-11-10,5.3,5.69,5.16,5.69,5.69,566059
2020-11-11,5.82,6.59,5.8,6.15,6.15,571531
2020-11-12,6.16,6.34,5.87,6.03,6.03,373182
2020-11-13,5.99,5.99,5.75,5.81,5.81,290791
2020-11-16,5.9,6.4,5.9,6.24,6.24,410839
2020-11-17,6.26,6.49,5.89,6.05,6.05,223764
2020-11-18,5.95,7.7,5.95,7.7,7.7,1389443
2020-11-19,7.48,8.51,7.02,8.08,8.08,991951
2020-11-20,7.97,8.4,7.44,7.71,7.71,411331
2020-11-23,8.07,8.17,7.7,7.8,7.8,318066
2020-11-24,8.3,9.2,8.24,9.2,9.2,630635
2020-11-25,9.2,9.65,8.69,8.93,8.93,630242
2020-11-26,8.9,8.9,8.4,8.9,8.9,333633
2020-11-27,8.89,9.16,8.57,8.88,8.88,327970
2020-11-30,8.25,8.8,8.25,8.35,8.35,470668
2020-12-01,8.48,9.46,7.0,7.2,7.2,3001318
2020-12-02,7.21,8.3,7.21,8.3,8.3,1231048
2020-12-03,8.95,9.06,8.1,8.45,8.45,2095908
2020-12-04,8.6,8.9,8.52,8.9,8.9,451378
2020-12-07,8.91,10.3,8.91,9.95,9.95,645714
2020-12-08,10.42,10.8,10.12,10.4,10.4,519710
2020-12-09,10.66,10.66,9.6,10.36,10.36,415099
2020-12-10,10.64,10.64,9.88,10.1,10.1,221966
2020-12-11,10.24,10.6,9.98,10.1,10.1,447346
2020-12-14,10.0,10.48,10.0,10.22,10.22,320986
2020-12-15,10.22,10.3,10.02,10.3,10.3,134632
2020-12-16,10.4,11.5,10.2,11.14,11.14,316737
2020-12-17,11.8,11.8,11.22,11.44,11.44,234337
2020-12-18,12.0,12.0,11.14,11.6,11.6,157511
2020-12-21,11.2,11.2,10.08,10.32,10.32,574540
2020-12-22,10.2,10.84,10.18,10.5,10.5,379897
2020-12-23,10.5,10.62,10.16,10.5,10.5,364390
2020-12-28,11.22,11.74,10.42,11.7,11.7,394885
2020-12-29,11.7,13.44,11.2,12.6,12.6,489651
2020-12-30,12.6,13.36,12.0,13.3,13.3,389880
2021-01-04,13.66,13.9,12.9,13.0,13.0,447218
2021-01-05,13.3,13.3,11.98,12.56,12.56,704928
2021-01-06,13.38,13.38,12.7,13.02,13.02,368293
2021-01-07,13.28,13.28,12.6,13.02,13.02,294895
2021-01-08,13.18,13.18,11.9,12.7,12.7,903209
2021-01-11,12.5,12.54,11.5,11.8,11.8,480662
2021-01-12,12.9,12.9,11.9,12.36,12.36,232830
2021-01-13,12.36,12.8,12.1,12.2,12.2,561721
2021-01-14,12.5,12.5,12.1,12.14,12.14,238187
2021-01-15,12.28,12.28,11.94,12.0,12.0,89651
2021-01-18,12.36,12.36,11.24,11.9,11.9,336529
2021-01-19,11.8,12.14,11.68,12.0,12.0,289395
2021-01-20,11.96,12.36,11.9,12.1,12.1,314652
2021-01-21,12.16,12.4,11.88,12.2,12.2,183581
2021-01-22,11.9,12.2,11.0,11.54,11.54,325244
2021-01-25,10.66,11.44,10.2,10.62,10.62,376572
2021-01-26,10.4,11.32,10.06,11.02,11.02,242678
2021-01-27,11.0,11.38,10.3,10.7,10.7,251398
2021-01-28,10.3,10.52,10.04,10.34,10.34,338691
2021-01-29,10.98,10.98,10.2,10.6,10.6,70504
2021-02-01,10.6,11.08,10.38,10.38,10.38,113822
2021-02-02,10.6,11.42,10.6,11.06,11.06,94731
2021-02-03,10.8,11.48,10.8,11.38,11.38,118005
2021-02-04,11.2,11.88,11.2,11.8,11.8,199961
2021-02-05,12.0,12.32,11.72,12.08,12.08,243439
2021-02-08,12.0,12.46,11.34,12.02,12.02,238498
2021-02-09,12.24,12.4,12.0,12.22,12.22,101808
2021-02-10,12.3,12.4,11.98,12.1,12.1,72954
2021-02-11,12.66,12.66,12.1,12.12,12.12,146569
2021-02-12,12.8,14.0,12.8,13.38,13.38,568293
2021-02-15,13.88,14.44,13.88,14.24,14.24,345222
2021-02-16,14.24,14.24,13.7,14.2,14.2,114189
2021-02-17,13.72,14.9,13.72,14.2,14.2,90412
2021-02-18,14.2,14.2,13.36,13.5,13.5,94898
2021-02-19,13.5,14.26,13.02,13.7,13.7,169885
2021-02-22,13.7,13.98,13.38,13.9,13.9,70493
