date,open,high,low,close,adjusted_close,volume
2022-08-18,2.5,2.6,1.67,2.29,2.29,1437716
2022-08-19,2.27,2.28,2.16,2.2,2.2,246700
2022-08-22,2.19,2.23,1.9,1.96,1.96,362200
2022-08-23,1.9,2.5,1.76,2.41,2.41,1031100
2022-08-24,2.44,2.58,2.23,2.35,2.35,711000
2022-08-25,2.3,2.32,2.07,2.16,2.16,644200
2022-08-26,2.17,2.17,2.02,2.07,2.07,581700
2022-08-29,2.11,2.27,2.01,2.24,2.24,376100
2022-08-30,2.2,2.3,2.0,2.02,2.02,512200
2022-08-31,2.04,2.1,1.95,2.1,2.1,235900
2022-09-01,2.1,2.1,1.85,1.88,1.88,647100
2022-09-02,1.94,2.04,1.87,1.89,1.89,378100
2022-09-06,1.95,1.98,1.88,1.91,1.91,153500
2022-09-07,1.91,1.93,1.81,1.82,1.82,293100
2022-09-08,1.82,1.86,1.78,1.81,1.81,113300
2022-09-09,1.8,1.9,1.65,1.77,1.77,417000
2022-09-12,1.76,1.8,1.65,1.67,1.67,408300
2022-09-13,1.62,1.68,1.55,1.6,1.6,388100
2022-09-14,1.6,1.82,1.6,1.82,1.82,153600
2022-09-15,1.84,1.84,1.61,1.61,1.61,216600
2022-09-16,1.64,1.64,1.55,1.58,1.58,164100
2022-09-19,1.58,1.6,1.44,1.46,1.46,255200
2022-09-20,1.45,1.47,1.38,1.38,1.38,123500
2022-09-21,1.44,1.53,1.41,1.47,1.47,177800
2022-09-22,1.49,1.65,1.45,1.58,1.58,221400
2022-09-23,1.55,1.57,1.39,1.4,1.4,220500
2022-09-26,1.44,1.46,1.29,1.37,1.37,219100
2022-09-27,1.42,1.43,1.28,1.28,1.28,104900
2022-09-28,1.26,1.52,1.26,1.45,1.45,144000
2022-09-29,1.41,1.45,1.26,1.28,1.28,265900
2022-09-30,1.3,1.41,1.29,1.37,1.37,143100
2022-10-03,1.4,1.54,1.35,1.54,1.54,154700
2022-10-04,1.5,1.5,1.4,1.45,1.45,102600
2022-10-05,1.45,1.48,1.38,1.38,1.38,104200
2022-10-06,1.4,1.43,1.31,1.43,1.43,113400
2022-10-07,1.38,1.42,1.31,1.31,1.31,91500
2022-10-11,1.36,1.38,1.32,1.32,1.32,29700
2022-10-12,1.34,1.44,1.31,1.42,1.42,80200
2022-10-13,1.42,1.42,1.29,1.34,1.34,112100
2022-10-14,1.34,1.36,1.32,1.33,1.33,5600
2022-10-17,1.34,1.41,1.33,1.38,1.38,112600
2022-10-18,1.4,1.5,1.4,1.45,1.45,151300
2022-10-19,1.47,1.49,1.46,1.47,1.47,10200
2022-10-20,1.49,1.54,1.46,1.53,1.53,70200
2022-10-21,1.52,1.52,1.45,1.45,1.45,24300
2022-10-24,1.43,1.5,1.43,1.5,1.5,167100
2022-10-25,1.44,1.52,1.44,1.48,1.48,67000
2022-10-26,1.48,1.62,1.46,1.6,1.6,236300
2022-10-27,1.62,1.84,1.62,1.78,1.78,433500
2022-10-28,1.77,1.85,1.74,1.82,1.82,132400
2022-10-31,1.81,1.81,1.65,1.69,1.69,77600
2022-11-01,1.71,1.71,1.67,1.67,1.67,8900
2022-11-02,1.68,1.68,1.6,1.6,1.6,43300
2022-11-03,1.62,1.62,1.54,1.54,1.54,44800
2022-11-04,1.56,1.64,1.55,1.6,1.6,89500
2022-11-07,1.63,1.64,1.54,1.59,1.59,61400
2022-11-08,1.58,1.67,1.46,1.66,1.66,133100
2022-11-09,1.66,1.66,1.57,1.57,1.57,56600
2022-11-10,1.58,1.77,1.58,1.7,1.7,112500
2022-11-11,1.71,1.92,1.71,1.9,1.9,310900
2022-11-14,1.98,2.09,1.93,2.04,2.04,310000
2022-11-15,1.99,2.04,1.82,2.04,2.04,425500
2022-11-16,2.03,2.03,1.9,1.9,1.9,60900
2022-11-17,1.88,2.05,1.86,1.98,1.98,171100
2022-11-18,1.99,2.01,1.94,1.95,1.95,161500
2022-11-21,1.87,1.9,1.18,1.39,1.39,1924300
2022-11-22,1.45,1.57,1.44,1.5,1.5,222600
2022-11-23,1.51,1.57,1.5,1.57,1.57,139400
2022-11-24,1.57,1.57,1.54,1.57,1.57,53900
2022-11-25,1.57,1.66,1.55,1.64,1.64,113800
2022-11-28,1.65,1.65,1.56,1.65,1.65,234200
2022-11-29,1.63,1.66,1.57,1.59,1.59,46400
2022-11-30,1.6,1.64,1.57,1.63,1.63,184600
2022-12-01,1.63,1.9,1.6,1.77,1.77,872700
