date,open,high,low,close,adjusted_close,volume
2009-11-12,3.3757543209876544,3.88442962962963,3.3757543209876544,3.7457,3.7457,1148476
2009-11-13,3.9769266666666665,4.208143333333333,3.9769266666666665,4.1619,4.1619,189070
2009-11-16,4.235860930232559,4.282103953488373,3.976900000000001,3.976900000000001,3.9769,407458
2009-11-17,3.9769328537170265,4.115663069544365,3.754964508393285,3.8567,3.8567,970876
2009-11-18,3.884413953488373,3.976900000000001,3.7919279069767446,3.976900000000001,3.9769,383204
2009-11-19,4.11568735632184,4.11568735632184,3.9307126436781616,4.0232,4.0232,226512
2009-11-20,4.069438515081208,4.115682134570767,3.9399563805104414,3.9862,3.9862,246211
2009-11-23,4.0139027522935775,4.106388990825688,3.9769082568807335,4.0324,4.0324,626112
2009-11-24,4.069391705069124,4.106386175115207,4.004651382488479,4.0139,4.0139,164405
2009-11-25,4.004656849315069,4.0509,3.9769109589041096,4.0509,4.0509,154496
2009-11-26,3.986162272727272,4.0694,3.810438181818181,4.0694,4.0694,268370
2009-11-27,3.810466823529412,4.069430588235295,3.810466823529412,3.9307,3.9307,58795
2009-11-30,3.90292972972973,3.930675675675676,3.7642000000000007,3.7642000000000007,3.7642,122429
2009-12-01,3.791953995157385,3.8474460048426153,3.754959322033898,3.8197,3.8197,212572
2009-12-02,3.791943209876543,3.819689135802469,3.699456790123457,3.7457,3.7457,205430
2009-12-03,3.7919319899244326,3.7919319899244326,3.653202770780856,3.6717,3.6717,306230
2009-12-04,3.671751256281407,3.791984924623116,3.6255075376884425,3.681,3.681,366008
2009-12-07,3.6532302631578952,3.699473684210527,3.5145,3.5145,3.5145,178937
2009-12-08,3.560691292875989,3.6069340369393137,3.477454353562005,3.5051999999999994,3.5052,254090
2009-12-09,3.5145128205128207,3.6347461538461534,3.5145128205128207,3.607,3.607,167910
2009-12-10,3.653163366336634,3.7456485148514855,3.606920792079208,3.7364000000000006,3.7364,23859
2009-12-11,3.79192911392405,3.79192911392405,3.634702784810126,3.6532,3.6532,19600
2009-12-14,3.6532,3.662448607594936,3.5607139240506327,3.6532,3.6532,35838
2009-12-15,3.6346605,3.7086484999999993,3.6346605,3.6994,3.6994,86315
2009-12-16,3.699456790123457,3.791943209876543,3.68095950617284,3.7457,3.7457,108620
2009-12-17,3.7456424999999993,3.7456424999999993,3.6994,3.6994,3.6994,39600
2009-12-18,3.699445843828715,3.745688916876574,3.6347055415617127,3.6717,3.6717,63847
2009-12-21,3.671682857142857,3.671682857142857,3.5052085714285712,3.5607,3.5607,70150
2009-12-22,3.5700051282051284,3.607,3.5607564102564107,3.607,3.607,34626
2009-12-23,3.616205569620253,3.6532,3.5607139240506327,3.6532,3.6532,177194
2009-12-24,3.6994,3.6994,3.6901515,3.6994,3.6994,1900
2009-12-29,3.6994,3.7086484999999993,3.662406,3.6994,3.6994,9210
2009-12-30,3.745657317073171,3.7919,3.745657317073171,3.7919,3.7919,11010
2009-12-31,3.7919,3.7919,3.7919,3.7919,3.7919,500
2010-01-04,3.764223294117648,3.939948705882353,3.764223294117648,3.9307,3.9307,44540
2010-01-05,3.986170179372197,4.208137892376682,3.902932286995515,4.1249,4.1249,120333
2010-01-06,4.115681914893617,4.393143617021276,4.08793574468085,4.3469,4.3469,179908
2010-01-07,4.346843010752688,4.393086021505376,4.254356989247311,4.3006,4.3006,69908
2010-01-08,4.300643478260871,4.3468869565217405,4.2544,4.2544,4.2544,45360
2010-01-11,4.254354211663067,4.346840172786177,4.254354211663067,4.2821,4.2821,87800
2010-01-12,4.2543428571428565,4.2543428571428565,4.2081,4.2081,4.2081,175880
2010-01-13,4.208156521739132,4.2544,4.161913043478262,4.2544,4.2544,74540
2010-01-14,4.272834146341464,4.272834146341464,4.161851441241685,4.1711,4.1711,44187
2010-01-15,4.171161739130436,4.2544,4.161913043478262,4.2544,4.2544,248915
2010-01-18,4.272897391304349,4.272897391304349,4.208156521739132,4.2544,4.2544,164200
2010-01-19,4.2544,4.2544,4.161913043478262,4.2544,4.2544,31657
2010-01-20,4.300585714285714,4.300585714285714,4.161857142857143,4.2081,4.2081,26181
2010-01-21,4.245169655172415,4.245169655172415,4.0232,4.0232,4.0232,213275
2010-01-22,4.023114606741572,4.1156,3.976871910112359,4.1156,4.1156,8020
2010-01-25,3.995397209302327,4.069386046511629,3.930656976744187,3.976900000000001,3.9769,26625
2010-01-26,4.16186018957346,4.16186018957346,3.9029,3.9029,3.9029,116718
2010-01-27,3.976877505567928,4.16184855233853,3.976877505567928,4.1526,4.1526,32703
2010-01-28,3.995451270207852,4.1434309468822175,3.995451270207852,4.0047,4.0047,28547
2010-01-29,4.02314861751152,4.152629262672811,3.8381762672811055,4.0139,4.0139,303056
2010-02-01,3.9307126436781616,4.0232,3.893717701149426,4.0232,4.0232,15997
2010-02-02,4.1156,4.161842696629213,4.069357303370786,4.1156,4.1156,69423
2010-02-03,4.115643181818181,4.115643181818181,4.023156818181817,4.0694,4.0694,103398
2010-02-04,4.069371428571428,4.069371428571428,3.801162857142857,3.8844,3.8844,32536
2010-02-05,4.069371428571428,4.069371428571428,3.838157142857143,3.8844,3.8844,200913
2010-02-08,3.976900000000001,3.976900000000001,3.87516534883721,3.976900000000001,3.9769,119250
2010-02-09,3.976900000000001,3.976900000000001,3.930656976744187,3.976900000000001,3.9769,108465
2010-02-10,4.078634651162791,4.161872093023256,3.976900000000001,3.976900000000001,3.9769,4311
2010-02-11,4.124877674418605,4.152623488372094,3.976900000000001,3.976900000000001,3.9769,5400
2010-02-12,4.143389090909091,4.161886363636363,3.9769136363636353,4.0694,4.0694,6573
2010-02-16,4.115629069767443,4.115629069767443,3.949154186046512,3.976900000000001,3.9769,98441
2010-02-17,3.9676649999999993,4.0694,3.930670454545454,4.0694,4.0694,68640
2010-02-18,4.069357303370786,4.1156,4.023114606741572,4.1156,4.1156,9470
2010-02-19,4.04165409090909,4.0694,4.04165409090909,4.0694,4.0694,1650
2010-02-22,4.0694,4.0694,4.0694,4.0694,4.0694,12000
2010-02-23,3.9676649999999993,4.0694,3.9676649999999993,4.0694,4.0694,6100
2010-02-24,4.023156818181817,4.0694,4.023156818181817,4.0694,4.0694,120645
2010-02-25,4.0694,4.0694,4.060151363636362,4.0694,4.0694,2700
2010-02-26,4.032405454545454,4.0694,3.930670454545454,4.0694,4.0694,94100
2010-03-01,4.0694,4.0694,4.0694,4.0694,4.0694,1100
2010-03-02,4.0694,4.0694,3.9399190909090898,4.0694,4.0694,29850
2010-03-03,4.069348519362188,4.115591116173122,4.023105922551253,4.0601,4.0601,196100
2010-03-04,4.060194942528736,4.069443678160921,4.0232,4.0232,4.0232,25000
2010-03-05,4.1156,4.1156,4.069357303370786,4.1156,4.1156,155533
2010-03-08,4.152653169734152,4.5226,4.143404498977506,4.5226,4.5226,63256
2010-03-09,4.4393290322580645,4.4393290322580645,4.3006,4.3006,4.3006,43163
2010-03-10,4.346837310195228,4.346837310195228,4.254351409978308,4.2636,4.2636,4740
2010-03-11,4.26360559139785,4.374588817204302,4.26360559139785,4.3006,4.3006,59196
2010-03-12,4.300594360086768,4.300594360086768,4.2636,4.2636,4.2636,28808
2010-03-15,4.26360559139785,4.3006,4.208113978494623,4.3006,4.3006,118430
2010-03-16,4.254356989247311,4.337594408602151,4.208113978494623,4.3006,4.3006,158522
2010-03-17,4.3006,4.346843010752688,4.254356989247311,4.3006,4.3006,532346
2010-03-18,4.254356,4.6243,4.254356,4.6243,4.6243,62060
2010-03-19,4.578028125,4.578028125,4.393057291666667,4.4393,4.4393,39880
2010-03-22,4.4392881355932206,4.4392881355932206,4.3653,4.3653,4.3653,169260
2010-03-23,4.3931,4.439343157894736,4.3931,4.3931,4.3931,420644
2010-03-24,4.393086021505376,4.393086021505376,4.3006,4.3006,4.3006,44074
2010-03-25,4.346843010752688,4.346843010752688,4.3006,4.3006,4.3006,32900
2010-03-26,4.300648706896553,4.300648706896553,4.272902586206897,4.2914,4.2914,87450
2010-03-29,4.272897391304349,4.300643478260871,4.171161739130436,4.2544,4.2544,272800
2010-03-30,4.2544,4.2544,4.198907826086957,4.2544,4.2544,297600
2010-03-31,4.2543291666666665,4.4393,4.245080625,4.4393,4.4393,118128
2010-04-01,4.439308641975308,4.541042798353909,4.356071604938271,4.4948,4.4948,104003
2010-04-05,4.541091958762887,4.624329896907216,4.4856,4.4856,4.4856,27680
2010-04-06,4.485570999999999,4.809272,4.485570999999999,4.6243,4.6243,210460
2010-04-07,4.763014285714285,4.763014285714285,4.485557142857141,4.5318,4.5318,150750
2010-04-08,4.578070588235295,4.7168,4.578070588235295,4.7168,4.7168,57300
2010-04-09,4.809270175438597,5.2717,4.735281403508772,5.2717,5.2717,137475
2010-04-12,5.225517592592593,5.225517592592593,4.948056481481481,4.9943,4.9943,23372
2010-04-13,4.994214545454546,5.132942727272727,4.910977636363636,5.0867,5.0867,30180
2010-04-14,5.086728971962618,5.086728971962618,4.948,4.948,4.948,180400
2010-04-15,5.040485981308412,5.086728971962618,4.948,4.948,4.948,30030
2010-04-16,5.040530188679245,5.040530188679245,4.901799999999999,4.901799999999999,4.9018,117180
2010-04-19,4.855485436893203,4.855485436893203,4.624271844660194,4.763,4.763,147410
2010-04-20,4.809325349301398,4.809325349301398,4.6336,4.6336,4.6336,13000
2010-04-21,4.624277456647398,4.8,4.587283236994219,4.8,4.8,29609
2010-04-22,4.689045833333333,4.689045833333333,4.5780625,4.6613,4.6613,283675
2010-04-23,4.670586868686868,4.670586868686868,4.5781,4.5781,4.5781,105350
2010-04-26,4.59660260521042,4.763079158316633,4.587353907815631,4.6151,4.6151,168718
2010-04-27,4.578042857142856,4.716771428571427,4.485557142857141,4.5318,4.5318,65910
2010-04-28,4.578048582995952,4.578048582995952,4.522557085020242,4.5688,4.5688,10800
2010-04-29,4.531843298969072,4.531843298969072,4.300626804123711,4.4856,4.4856,45415
2010-04-30,4.53178640776699,4.77224854368932,4.494792233009708,4.763,4.763,656563
2010-05-03,4.809330693069308,4.911066534653465,4.6706,4.6706,4.6706,42119
2010-05-04,4.624285714285713,4.633534285714284,4.272839999999999,4.5318,4.5318,35290
2010-05-05,4.393071428571427,4.624285714285713,4.208099999999999,4.5318,4.5318,210006
2010-05-06,4.439387234042552,4.439387234042552,4.124930638297872,4.3469,4.3469,93150
2010-05-07,4.346828571428572,4.346828571428572,4.115614285714286,4.2081,4.2081,44500
2010-05-10,4.522551428571427,4.624285714285713,4.346828571428571,4.5318,4.5318,9400
2010-05-11,4.39313043478261,4.439373913043479,4.2544,4.2544,4.2544,111400
2010-05-12,4.485542708333333,4.485542708333333,4.393057291666667,4.4393,4.4393,62350
2010-05-13,4.4856,4.4856,4.439356701030928,4.4856,4.4856,48950
2010-05-14,4.3469,4.3469,4.20816914893617,4.3469,4.3469,26645
2010-05-17,4.254412993039444,4.254412993039444,3.9862,3.9862,3.9862,108325
2010-05-18,4.069380281690141,4.161866197183099,3.9399,3.9399,3.9399,38200
2010-05-19,3.939918610421836,3.939918610421836,3.560724565756824,3.7272,3.7272,171640
2010-05-20,3.606915,3.6994,3.5606724999999995,3.6994,3.6994,36615
2010-05-21,3.5607564102564107,3.69948717948718,3.523761538461539,3.607,3.607,138157
2010-05-25,3.5607139240506327,3.6532,3.237012658227848,3.6532,3.6532,51650
2010-05-26,3.6994146341463416,3.7919,3.560686585365854,3.7919,3.7919,59308
2010-05-27,3.838169892473119,4.3006,3.838169892473119,4.3006,4.3006,79273
2010-05-28,4.1619,4.254386666666666,4.115656666666667,4.1619,4.1619,36117
2010-05-31,4.161872093023256,4.161872093023256,3.976900000000001,3.976900000000001,3.9769,1300
2010-06-01,3.976870731707317,4.069356097560976,3.7919,3.7919,3.7919,158465
2010-06-02,3.708663170731707,3.930628048780488,3.708663170731707,3.7919,3.7919,62500
2010-06-03,3.9214270270270273,3.9491729729729728,3.7549513513513513,3.7642000000000007,3.7642,29300
2010-06-04,3.7918849999999993,3.7918849999999993,3.6901515,3.6994,3.6994,181100
2010-06-07,3.69948717948718,3.745730769230769,3.5977512820512825,3.607,3.607,54025
2010-06-08,3.79192911392405,3.79192911392405,3.606956962025316,3.6532,3.6532,78600
2010-06-09,3.791974358974359,3.791974358974359,3.607,3.607,3.607,73300
2010-06-10,3.690231205673759,3.9306973995271854,3.690231205673759,3.9122,3.9122,67007
2010-06-11,3.9307,3.9307,3.921451294117648,3.9307,3.9307,26600
2010-06-14,3.9306883259911896,4.485609030837004,3.9306883259911896,4.1989,4.1989,40849
2010-06-15,4.3006,4.485572043010753,4.254356989247311,4.3006,4.3006,173095
2010-06-16,4.180410434782609,4.319140869565218,4.180410434782609,4.2544,4.2544,11060
2010-06-17,4.300656382978723,4.531874468085106,4.300656382978723,4.3469,4.3469,82600
2010-06-18,4.346889610389611,4.439376623376623,4.2729,4.2729,4.2729,23500
2010-06-21,4.263594310722101,4.272842888402626,4.2266,4.2266,4.2266,17200
2010-06-22,4.22665391304348,4.2544,4.22665391304348,4.2544,4.2544,15200
2010-06-23,4.254372727272727,4.254372727272727,4.0694,4.0694,4.0694,15900
2010-06-24,4.0694,4.115643181818181,4.0694,4.0694,4.0694,6700
2010-06-25,4.16193103448276,4.16193103448276,4.0232,4.0232,4.0232,22000
2010-06-28,4.0232,4.0232,3.976956321839081,4.0232,4.0232,4700
2010-06-29,3.976916049382716,3.976916049382716,3.699456790123457,3.7457,3.7457,24717
2010-06-30,3.8473852216748776,3.884379310344828,3.7549,3.7549,3.7549,17125
2010-07-02,3.828894146341464,3.967622195121952,3.7919,3.7919,3.7919,18842
2010-07-05,3.7549,3.791894088669951,3.7549,3.7549,3.7549,17150
2010-07-06,3.810382,3.810382,3.6994,3.6994,3.6994,20230
2010-07-07,3.791940909090908,4.115643181818181,3.764195,4.0694,4.0694,37590
2010-07-08,4.0508602247191,4.1156,3.9306292134831455,4.1156,4.1156,35800
2010-07-09,4.115627,4.6243,4.069384,4.6243,4.6243,159740
2010-07-12,4.716786,4.716786,4.439328,4.6243,4.6243,94320
2010-07-13,4.624315789473684,4.624315789473684,4.3931,4.3931,4.3931,4500
2010-07-14,4.3931,4.485586315789473,4.3931,4.3931,4.3931,10700
2010-07-15,4.3931,4.485586315789473,4.3931,4.3931,4.3931,48100
2010-07-16,4.393086021505376,4.393086021505376,4.3006,4.3006,4.3006,1500
2010-07-19,4.161870967741936,4.393086021505376,4.161870967741936,4.3006,4.3006,12200
2010-07-20,4.300613684210526,4.3931,4.300613684210526,4.3931,4.3931,21800
2010-07-21,4.254351409978308,4.393080260303687,4.254351409978308,4.2636,4.2636,35400
2010-07-22,4.624329896907216,4.624329896907216,4.448605360824741,4.4856,4.4856,750574
2010-07-23,4.568835000000001,4.855543269230769,4.550337692307693,4.8093,4.8093,441230
2010-07-26,4.855532786885245,5.086748633879781,4.772295081967212,5.0775,5.0775,107320
2010-07-27,5.086723163841808,5.086723163841808,4.911,4.911,4.911,64570
2010-07-28,4.901797348484848,4.901797348484848,4.772315909090909,4.8833,4.8833,51210
2010-07-29,4.994234042553192,5.271691489361702,4.883251063829787,5.2162,5.2162,78976
2010-07-30,5.2717,5.364185964912281,5.262451403508773,5.2717,5.2717,15840
2010-08-03,5.271748681898067,5.373484182776801,5.086775043936731,5.2625,5.2625,95350
2010-08-04,5.2717,5.456671929824562,5.234705614035088,5.2717,5.2717,312844
2010-08-05,5.2717,5.364185964912281,5.2717,5.2717,5.2717,53253
2010-08-06,5.271743362831859,5.299489380530974,5.2255,5.2255,5.2255,46500
2010-08-09,5.225439964157706,5.271682795698925,5.1329543010752685,5.1607,5.1607,187900
2010-08-10,5.160714084507043,5.271697183098592,5.086725352112676,5.2532000000000005,5.2532,54900
2010-08-11,5.188477981651376,5.308710091743119,4.9942568807339445,5.0405,5.0405,123226
2010-08-12,5.040543518518518,5.06828962962963,4.948056481481481,4.9943,4.9943,49550
2010-08-13,4.911019266055045,5.0405,4.901770642201834,5.0405,5.0405,13750
2010-08-16,5.00350276243094,5.225469613259669,4.994254143646409,5.022,5.022,52200
2010-08-17,5.216247999999999,5.5492,5.077518,5.5492,5.5492,153115
2010-08-18,5.456691780821918,5.456691780821918,5.317962328767123,5.4012,5.4012,55914
2010-08-19,5.317986725663717,5.317986725663717,5.2070026548672566,5.2255,5.2255,70925
2010-08-20,5.308738053097346,5.308738053097346,5.2255,5.2255,5.2255,6500
2010-08-23,5.271743362831859,5.271743362831859,5.2255,5.2255,5.2255,5700
2010-08-24,5.225469613259669,5.225469613259669,5.022,5.022,5.022,216255
2010-08-25,5.0404972375690615,5.086740331491713,4.994254143646409,5.022,5.022,53115
2010-08-26,5.123745916515428,5.17923774954628,5.086751361161525,5.096000000000001,5.096,56000
2010-08-27,5.132942727272727,5.132942727272727,5.040457272727274,5.0867,5.0867,173065
2010-08-30,5.040516157989228,5.160748653500898,5.040516157989228,5.1515,5.1515,194500
2010-08-31,5.096005405405405,5.179243243243243,5.06825945945946,5.133,5.133,778780
2010-09-01,5.179272097053726,5.354997400346621,5.179272097053726,5.3365,5.3365,22100
2010-09-02,5.3642,5.456686206896553,5.32720551724138,5.3642,5.3642,80450
2010-09-03,5.364171428571428,5.5029,5.364171428571428,5.5029,5.5029,98190
2010-09-07,5.5029,5.5029,5.410414285714285,5.5029,5.5029,3845
2010-09-08,5.4566490384615385,5.7711,5.410406249999999,5.7711,5.7711,134005
2010-09-09,5.771168,5.771168,5.5492,5.5492,5.5492,28960
2010-09-10,5.549129032258064,5.780342741935484,5.549129032258064,5.7341,5.7341,295280
2010-09-13,5.660197377049181,5.660197377049181,5.58620786885246,5.641700000000001,5.6417,28700
2010-09-14,5.734134646962234,5.734134646962234,5.6324000000000005,5.6324000000000005,5.6324,69995
2010-09-15,5.623202622950821,5.641700000000001,5.623202622950821,5.641700000000001,5.6417,14185
2010-09-16,5.687899999999999,5.687899999999999,5.641656910569105,5.687899999999999,5.6879,5150
2010-09-17,5.687930000000001,5.724924666666667,5.5492,5.5492,5.5492,18000
2010-09-20,5.641614516129032,5.7341,5.641614516129032,5.7341,5.7341,110545
2010-09-21,5.6601920792079214,5.780424917491749,5.6047,5.6047,5.6047,14274
2010-09-22,5.724894471544715,5.734143089430893,5.641656910569105,5.687899999999999,5.6879,22400
2010-09-23,5.678681333333333,5.687930000000001,5.5492,5.5492,5.5492,45650
2010-09-24,5.604692,5.734173333333334,5.5492,5.5492,5.5492,19350
2010-09-27,5.549186440677966,5.549186440677966,5.31797033898305,5.4567,5.4567,20981
2010-09-28,5.456713333333334,5.5492,5.419718666666667,5.5492,5.5492,15300
2010-09-29,5.5492,5.5492,5.456713333333334,5.5492,5.5492,37355
2010-09-30,5.5492,5.687930000000001,5.410469999999999,5.5492,5.5492,333298
2010-10-01,5.5492,5.595443333333333,5.465962,5.5492,5.5492,50100
2010-10-04,5.734173333333334,5.734173333333334,5.5492,5.5492,5.5492,74380
2010-10-05,5.734097087378641,5.761842718446602,5.650860194174758,5.7156,5.7156,77020
2010-10-06,5.715689508196722,5.715689508196722,5.641700000000001,5.641700000000001,5.6417,45645
2010-10-07,5.595368932038835,5.7156,5.549126213592233,5.7156,5.7156,4012
2010-10-08,5.558448666666666,5.623189333333333,5.502956666666667,5.5492,5.5492,67390
2010-10-12,5.512205333333333,5.5492,5.502956666666667,5.5492,5.5492,16400
2010-10-13,5.5492,5.641686666666667,5.5492,5.5492,5.5492,69730
2010-10-14,5.549186440677966,5.549186440677966,5.4567,5.4567,5.4567,52700
2010-10-15,5.502973913043479,5.502973913043479,5.3180000000000005,5.3180000000000005,5.318,51000
2010-10-18,5.5029,5.549142857142857,5.410414285714285,5.5029,5.5029,47450
2010-10-19,5.502973913043479,5.502973913043479,5.3180000000000005,5.3180000000000005,5.318,105068
2010-10-20,5.484422331691297,5.641648604269294,5.484422331691297,5.6324000000000005,5.6324,496555
2010-10-21,5.549186440677966,5.549186440677966,5.410456779661017,5.4567,5.4567,107140
2010-10-22,5.456654300168635,5.549139966273188,5.456654300168635,5.484400000000001,5.4844,91545
2010-10-25,5.549157024793388,5.734128925619834,5.549157024793388,5.595399999999999,5.5954,111963
2010-10-26,5.5954138211382105,5.724894471544715,5.5954138211382105,5.687899999999999,5.6879,14120
2010-10-27,5.595399999999999,5.604648595041321,5.595399999999999,5.595399999999999,5.5954,24400
2010-10-28,5.604620322580645,5.7341,5.604620322580645,5.7341,5.7341,60230
2010-10-29,5.761887384615384,6.316804307692307,5.761887384615384,6.011599999999999,6.0116,89850
2010-11-01,6.011643410852713,6.011643410852713,5.9654,5.9654,5.9654,12100
2010-11-02,5.993102769230768,6.104086153846152,5.928362461538461,6.011599999999999,6.0116,12949
2010-11-03,6.0855766617429845,6.2613,6.0855766617429845,6.2613,6.2613,26446
2010-11-04,6.270517391304348,6.566471014492753,6.270517391304348,6.3815,6.3815,89835
2010-11-05,6.3353,6.427786131386863,6.2520624817518256,6.3353,6.3353,87111
2010-11-08,6.473999999999999,6.473999999999999,6.335271428571428,6.473999999999999,6.474,74600
2010-11-09,6.252105294117647,6.474073529411765,6.24285661764706,6.2891,6.2891,123502
2010-11-10,6.289105263157895,6.3261,6.113380263157896,6.3261,6.3261,70470
2010-11-11,6.326037333333333,6.326037333333333,6.196557037037037,6.242799999999999,6.2428,58187
2010-11-12,6.242815384615383,6.242815384615383,5.835876307692306,6.011599999999999,6.0116,51300
2010-11-15,6.048557207890744,6.0948,5.919077389984826,6.0948,6.0948,55814
2010-11-16,6.0116109422492405,6.094848632218845,5.743400607902736,6.0856,6.0856,193975
2010-11-17,5.983893676470588,6.363089411764706,5.983893676470588,6.2891,6.2891,107830
2010-11-18,6.16881953010279,6.2983,6.16881953010279,6.2983,6.2983,167782
2010-11-19,6.29834769874477,6.659046025104604,6.29834769874477,6.6313,6.6313,59400
2010-11-22,6.631281081081082,6.659027027027028,6.5018,6.5018,6.5018,105500
2010-11-23,6.53874,6.53874,6.427757142857143,6.473999999999999,6.474,233325
2010-11-24,6.4740186915887845,6.9272,6.4740186915887845,6.9272,6.9272,73120
2010-11-25,6.723765032258064,8.138807741935485,6.723765032258064,7.1677,7.1677,384915
2010-11-26,7.398857142857143,7.620822857142857,7.167642857142857,7.4451,7.4451,56895
2010-11-29,7.408145864661654,7.408145864661654,7.287913784461153,7.3804,7.3804,154350
2010-11-30,7.35263456632653,7.361883163265305,7.167662627551019,7.250899999999999,7.2509,182546
2010-12-01,7.250921999999999,7.398899999999999,7.167684374999999,7.398899999999999,7.3989,176287
2010-12-02,7.620910576923077,7.861376201923076,7.537672475961538,7.6949,7.6949,105372
2010-12-03,7.685562857142857,7.7688,7.491342857142857,7.7688,7.7688,65210
2010-12-06,7.768875912408759,7.768875912408759,7.583902676399025,7.602399999999999,7.6024,30100
2010-12-07,7.630099999999999,7.630099999999999,7.509868121212119,7.630099999999999,7.6301,14680
2010-12-08,7.676348612786491,7.676348612786491,7.583862484921592,7.6671,7.6671,106775
2010-12-09,7.676344303797468,7.676344303797468,7.278654177215189,7.306399999999999,7.3064,64725
2010-12-10,7.398929936305732,7.417427261146496,7.260199999999999,7.260199999999999,7.2602,146275
2010-12-13,7.398899999999999,7.445143125,7.38040275,7.398899999999999,7.3989,128067
2010-12-14,7.324910999999999,7.398899999999999,7.324910999999999,7.398899999999999,7.3989,48365
2010-12-15,7.398943396226414,7.398943396226414,7.287959245283018,7.3527,7.3527,52900
2010-12-16,7.3526486146095715,7.3526486146095715,7.260162468513853,7.3434,7.3434,147900
2010-12-17,7.398899999999999,7.49138625,7.398899999999999,7.398899999999999,7.3989,347755
2010-12-20,7.352656875,7.49138625,7.352656875,7.398899999999999,7.3989,38207
2010-12-21,7.491418689320389,7.620900000000001,7.398932038834951,7.620900000000001,7.6209,89114
2010-12-22,7.639345808019441,7.639345808019441,7.537611178614824,7.611600000000001,7.6116,191237
2010-12-23,7.6116027878787875,7.67634303030303,7.6116027878787875,7.630099999999999,7.6301,79250
2010-12-24,7.6764,7.759638072289157,7.630156626506024,7.6764,7.6764,2650
2010-12-29,7.768843113772455,7.805837604790418,7.63011377245509,7.7226,7.7226,129630
2010-12-30,7.815100000000001,7.815100000000001,7.676370414201186,7.815100000000001,7.8151,16784
2010-12-31,7.722639884393063,8.0001,7.722639884393063,8.0001,8.0001,30955
2011-01-04,8.000072781065091,8.000072781065091,7.815100000000001,7.815100000000001,7.8151,87431
2011-01-05,7.768872812135355,8.092575845974329,7.694883547257875,7.926099999999999,7.9261,131730
2011-01-06,7.90758409090909,8.1388,7.90758409090909,8.1388,8.1388,149300
2011-01-07,8.046270652173911,8.554942934782607,8.046270652173911,8.5087,8.5087,221920
2011-01-10,8.601254019292606,8.629,8.32379421221865,8.629,8.629,384222
2011-01-11,8.471748633879782,8.490245901639344,8.323770491803279,8.4625,8.4625,212610
