date,open,high,low,close,adjusted_close,volume
2022-06-13,33.2,33.2,33.2,33.2,33.2,545
2022-06-17,25.0,25.0,25.0,25.0,25.0,797
2022-08-18,26.7,26.7,26.7,26.7,26.7,120
2022-08-19,27.5,27.5,27.5,27.5,27.5,245
2022-08-22,30.0,30.0,28.2,28.2,28.2,1232
2022-08-29,26.0,26.0,26.0,26.0,26.0,246
2022-08-30,28.0,28.0,28.0,28.0,28.0,141
2022-09-02,28.0,28.0,28.0,28.0,28.0,124
2022-09-06,26.0,26.0,26.0,26.0,26.0,191
2022-09-22,26.0,26.0,26.0,26.0,26.0,538
2022-09-23,24.05,24.05,23.0,23.1,23.1,1329
2022-09-26,23.0,24.0,23.0,23.1,23.1,10046
2022-09-27,22.0,22.0,22.0,22.0,22.0,13514
2022-09-29,22.1,22.1,22.0,22.0,22.0,24015
2022-10-03,22.1,24.5,22.1,24.5,24.5,820
2022-10-04,24.55,25.0,24.0,25.0,25.0,1229
2022-10-06,23.35,23.35,23.35,23.35,23.35,102
2022-10-13,25.0,25.0,25.0,25.0,25.0,230
2022-10-14,26.0,28.5,24.51,26.5,26.5,80458
2022-10-17,27.06,27.49,25.6,27.4,27.4,8878
2022-10-18,27.49,27.71,26.95,27.12,27.12,11544
2022-10-19,27.54,27.705,27.25,27.55,27.55,11113
2022-10-20,27.6,27.83,27.3,27.49,27.49,2875
2022-10-21,27.95,29.2,27.77,28.6,28.6,8802
2022-10-24,29.0,30.5,27.51,28.83,28.83,186209
2022-10-25,29.17,29.74,27.75,28.64,28.64,145035
2022-10-26,29.5,31.98,29.33,31.53,31.53,70574
2022-10-27,31.18,33.88,31.18,32.8,32.8,91524
2022-10-28,31.47,33.25,31.47,32.74,32.74,7503
2022-10-31,32.11,32.485,31.5,31.5,31.5,37719
2022-11-01,34.53,34.53,32.05,33.37,33.37,82574
2022-11-02,33.35,33.72,32.5,33.06,33.06,31092
2022-11-03,32.66,33.33,31.05,32.89,32.89,33839
