date,open,high,low,close,adjusted_close,volume
2019-11-07,12.75,13.25,12.25,12.52,12.52,921300
2019-11-08,12.78,13.25,12.67,13.02,13.02,187400
2019-11-11,13.05,13.74,13.05,13.4,13.4,135700
2019-11-12,13.51,13.69,13.3,13.55,13.55,81000
2019-11-13,13.61,14.99,13.55,14.45,14.45,237600
2019-11-14,14.85,16.72,14.83,15.35,15.35,693300
2019-11-15,15.59,16.17,15.0,15.1,15.1,277000
2019-11-18,15.5,15.725,14.85,15.69,15.69,124900
2019-11-19,15.65,16.9,15.3,16.09,16.09,180300
2019-11-20,16.2,16.37,15.61,16.24,16.24,168500
2019-11-21,16.34,16.72,16.2,16.43,16.43,106300
2019-11-22,16.26,16.26,15.513,15.67,15.67,97600
2019-11-25,15.7,15.98,13.95,15.35,15.35,212200
2019-11-26,15.29,15.97,14.9,15.95,15.95,77300
2019-11-27,15.82,16.05,15.638,16.05,16.05,83400
2019-11-29,15.98,16.52,15.79,16.42,16.42,61000
2019-12-02,16.55,16.95,15.5,16.02,16.02,103800
2019-12-03,15.82,15.82,15.25,15.44,15.44,73700
2019-12-04,15.37,15.64,15.05,15.17,15.17,47100
2019-12-05,15.52,15.6,14.9,15.5,15.5,59100
2019-12-06,15.38,15.6,14.937,15.15,15.15,47100
2019-12-09,15.15,15.75,15.14,15.32,15.32,58200
2019-12-10,15.2,15.75,14.81,15.75,15.75,68900
2019-12-11,15.43,15.69,15.27,15.43,15.43,73600
2019-12-12,15.5,16.2,15.5,15.61,15.61,160000
2019-12-13,15.73,16.103,15.73,16.02,16.02,55500
2019-12-16,16.0,16.18,15.79,16.14,16.14,129100
2019-12-17,16.09,16.39,15.93,16.39,16.39,145900
2019-12-18,16.42,16.47,16.003,16.26,16.26,123500
2019-12-19,16.05,16.44,16.05,16.26,16.26,99200
2019-12-20,16.45,16.45,15.72,15.91,15.91,520700
2019-12-23,15.97,16.15,15.33,15.67,15.67,85600
2019-12-24,15.74,15.98,15.65,15.82,15.82,13700
2019-12-26,15.81,15.83,15.39,15.55,15.55,34200
2019-12-27,15.65,15.65,15.44,15.57,15.57,27800
2019-12-30,15.61,16.01,15.5,15.95,15.95,23600
2019-12-31,16.0,16.05,15.58,15.91,15.91,63900
2020-01-02,16.05,16.05,15.675,15.93,15.93,60800
2020-01-03,15.75,15.96,15.73,15.93,15.93,23300
