date,open,high,low,close,adjusted_close,volume
1993-07-01,4.5366,4.5366,4.5366,4.5366,4.5366,3165
1993-07-02,4.5065,4.5065,4.5065,4.5065,4.5065,1582
1993-07-05,4.4705,4.4705,4.4705,4.4705,4.4705,3165
1993-07-06,4.3984,4.468774399999999,4.3632128,4.3984,4.3984,8703
1993-07-08,4.4224,4.4224,4.4224,4.4224,4.4224,9494
1993-07-09,4.3984,4.3984,4.3984,4.3984,4.3984,3165
1993-07-13,4.5185,4.5185,4.5185,4.5185,4.5185,3165
1993-07-30,5.1074,5.1074,5.1074,5.1074,5.1074,1582
1993-08-06,5.1194,5.29472191780822,5.1194,5.1194,5.1194,1582
1993-08-17,5.2035,5.2035,5.2035,5.2035,5.2035,3165
1993-09-14,4.9031,5.008166428571428,4.9031,4.9031,4.9031,24526
1993-09-27,4.4885,4.4885,4.4885,4.4885,4.4885,49052
1993-09-28,4.5906,4.625642748091603,4.520514503816794,4.5906,4.5906,53800
1993-09-29,4.5786,4.613551145038167,4.5786,4.5786,4.5786,12659
1993-10-18,3.7975,3.902986111111111,3.7975,3.7975,3.7975,22153
1993-10-22,3.4189,3.4537867346938778,3.3491265306122444,3.4189,3.4189,31647
1993-10-29,3.3528,3.3528,3.317875,3.3528,3.3528,3165
1993-11-03,3.3528,3.3528,3.3528,3.3528,3.3528,6329
1993-11-05,3.2988,3.2988,3.2988,3.2988,3.2988,791
1993-11-18,3.1485,3.1485,3.1485,3.1485,3.1485,6329
1993-11-19,3.3528,3.3528,3.3528,3.3528,3.3528,791
1993-11-26,3.5944,3.62929708737864,3.5944,3.5944,3.5944,18988
1993-11-29,3.6064,3.6064,3.6064,3.6064,3.6064,18988
1993-11-30,3.6052,3.6752038834951457,3.6052,3.6052,3.6052,29273
1993-12-09,3.8335,3.8335,3.8335,3.8335,3.8335,3165
1993-12-17,4.0258,4.0258,3.850765217391304,4.0258,4.0258,30064
1993-12-20,4.0138,4.188313043478261,3.943994782608695,4.0138,4.0138,77535
1993-12-21,4.1604,4.1604,4.020554621848739,4.1604,4.1604,138455
1993-12-22,4.158,4.192941176470589,4.088117647058824,4.158,4.158,48261
1993-12-23,4.0859,4.155744444444444,3.9811333333333327,4.0859,4.0859,95731
1993-12-27,4.0859,4.0859,4.050977777777777,4.0859,4.0859,42723
1993-12-28,4.0222,4.057175652173912,3.952248695652173,4.0222,4.0222,46679
