date,open,high,low,close,adjusted_close,volume
2008-11-03,1.3190858725761774,1.3190858725761774,1.287,1.287,1.287,26000
2008-11-04,1.2478,1.2478,1.2478,1.2478,1.2478,26000
2008-11-05,1.2211,1.2211,1.2211,1.2211,1.2211,2500
2008-12-01,1.0696,1.0696,1.0696,1.0696,1.0696,2500
2008-12-02,1.0161,1.0161,1.0161,1.0161,1.0161,1000
2008-12-09,1.1498,1.1498,1.1498,1.1498,1.1498,1250
2008-12-11,1.1409,1.1409,1.1409,1.1409,1.1409,1000
2008-12-15,1.1230128,1.1408384000000005,1.1141,1.1141,1.1141,383500
2008-12-31,1.1676,1.1676,1.1676,1.1676,1.1676,1000
2009-02-13,1.0874,1.0874,1.0874,1.0874,1.0874,2500
2009-02-20,1.1587,1.1587,1.1587,1.1587,1.1587,750
2009-02-23,1.1052,1.1052,1.1052,1.1052,1.1052,3500
2009-02-24,1.0874,1.0874,1.0874,1.0874,1.0874,1000
2009-02-26,1.0785,1.0785,1.0785,1.0785,1.0785,35000
2009-03-02,1.1141,1.1141,1.1141,1.1141,1.1141,750
2009-03-03,1.0517,1.0517,1.0517,1.0517,1.0517,25000
2009-03-11,1.0785,1.0785,1.0785,1.0785,1.0785,750
2009-03-16,1.2924,1.2924,1.2924,1.2924,1.2924,27860
2009-03-17,1.247821917808219,1.3369520547945204,1.247821917808219,1.3013,1.3013,51800
2009-03-23,1.2995,1.2995,1.2995,1.2995,1.2995,2000
2009-03-24,1.336948051948052,1.381512987012987,1.336948051948052,1.3726,1.3726,14500
2009-03-26,1.3013,1.3013,1.3013,1.3013,1.3013,2115
2009-03-30,1.3066652530779752,1.308447879616963,1.3031,1.3031,1.3031,7280
2009-04-03,1.399352287581699,1.399352287581699,1.3637,1.3637,1.3637,4000
2009-04-06,1.4438769230769233,1.4438769230769233,1.3904,1.3904,1.3904,3830
2009-04-08,1.4617,1.4617,1.4617,1.4617,1.4617,2500
2009-04-14,1.4118,1.4118,1.4118,1.4118,1.4118,1775
2009-04-15,1.4100082051282057,1.4581374358974362,1.3904,1.3904,1.3904,48905
2009-04-20,1.4706,1.4706,1.4706,1.4706,1.4706,10000
2009-04-29,1.568674157303371,1.5865,1.568674157303371,1.5865,1.5865,15500
2009-04-30,1.6310348964013088,1.6363825517993458,1.6274697928026176,1.6346,1.6346,344345
2009-05-01,1.64,1.64,1.6310869565217392,1.64,1.64,134230
2009-05-04,1.719673469387755,1.7555,1.719673469387755,1.7555,1.7555,1498750
2009-05-05,1.7375739400206822,1.7375739400206822,1.7304086866597723,1.7322,1.7322,19035
2009-05-06,1.7376,1.7376,1.7322259793814436,1.7376,1.7376,250365
2009-05-07,1.7322741701244817,1.7466052904564318,1.6928635892116182,1.7269000000000003,1.7269,11290
2009-05-08,1.6928,1.6981739682539685,1.6928,1.6928,1.6928,8435
2009-05-11,1.6319345355191257,1.6838841530054645,1.6319345355191257,1.6391,1.6391,50355
2009-05-12,1.631925929978118,1.6928320568927786,1.631925929978118,1.6373,1.6373,16800
2009-05-13,1.6515826086956524,1.692782608695652,1.642626086956522,1.648,1.648,17475
2009-05-14,1.8630223084384088,1.8630223084384088,1.8361517943743937,1.8469,1.8469,73250
2009-05-15,1.8450835820895524,1.8450835820895524,1.8003,1.8003,1.8003,12530
2009-05-18,1.9078,1.9078,1.9078,1.9078,1.9078,795
2009-05-19,1.877349558390579,1.877349558390579,1.8236086359175665,1.8254,1.8254,21075
2009-05-20,1.8361307767944937,1.8450875122910524,1.8218,1.8218,1.8218,15715
2009-05-21,1.8146468932038835,1.8451,1.6928344660194172,1.8451,1.8451,16040
