date,open,high,low,close,adjusted_close,volume
1984-11-05,407.0432,414.3120062824255,407.0432,407.0432,407.0432,271
1984-11-06,404.62,407.04226641743327,399.7734768065325,404.62,404.62,487
1984-11-07,394.9284,404.6194426799583,394.9284,394.9284,394.9284,484
1984-11-08,404.62,404.62,394.92894397166606,404.62,404.62,1089
1984-11-09,407.0432,414.3120062824255,402.19666569066095,407.0432,407.0432,993
1984-11-12,404.62,409.4645328348664,404.62,404.62,404.62,595
1984-11-13,402.1969,409.4657105170434,397.3523532315215,402.1969,402.1969,923
1984-11-14,399.7747,407.0435118513356,397.35242617111845,399.7747,399.7747,1286
1984-11-15,397.3514,397.3514,373.1227531882709,397.3514,397.3514,2881
1984-11-16,382.814,399.7738619796812,380.3917312487652,382.814,382.814,1875
1984-11-19,370.6995,392.5038309055668,353.7377010061853,370.6995,370.6995,3101
1984-11-20,368.2771,370.7013636750797,358.5860163924769,368.2771,368.2771,3174
1984-11-21,363.4314,363.4314,358.58487839492653,363.4314,363.4314,4450
1984-11-23,363.4314,365.8536656235624,361.0071440184889,363.4314,363.4314,1235
1984-11-26,353.74,363.433088236949,348.8954462487199,353.74,353.74,1531
1984-11-27,351.3165,356.1630272450697,348.89423155759766,351.3165,351.3165,1006
1984-11-28,346.4715,353.7403277284373,346.4715,346.4715,346.4715,2645
1984-11-29,348.8939,348.8939,346.46964350112955,348.8939,348.8939,1856
1984-11-30,365.8543,375.545369656118,344.0479005026848,365.8543,365.8543,3559
1984-12-03,356.1626,361.0071310734084,353.73834410541843,356.1626,356.1626,3186
1984-12-04,358.5855,363.4320300064942,353.73896999350586,358.5855,358.5855,5380
1984-12-05,361.0081,361.0081,356.1635559240923,361.0081,361.0081,4240
1984-12-06,365.8543,365.8543,358.5855001675617,365.8543,365.8543,3161
1984-12-07,358.5855,365.8542998290418,358.5855,358.5855,358.5855,2337
1984-12-10,365.8543,368.2765698236796,353.7389701588028,365.8543,365.8543,5784
1984-12-11,370.6995,370.6995,365.8529873797302,370.6995,370.6995,3005
1984-12-12,365.8543,375.545369656118,363.4320301763205,365.8543,365.8543,2496
1984-12-13,363.4314,365.8536656235624,361.0071440184889,363.4314,363.4314,3683
1984-12-14,361.0081,368.276906477081,356.1635559240923,361.0081,361.0081,2352
1984-12-17,368.2771,368.2771,353.73947940658275,368.2771,368.2771,2941
1984-12-18,368.2771,373.1236369858942,365.85482668918553,368.2771,368.2771,4218
1984-12-19,392.5061,407.04373154921575,363.4328272673336,392.5061,392.5061,6551
1984-12-20,380.3914,394.9289805689708,377.96714299931455,380.3914,380.3914,1773
1984-12-21,428.8483,465.1902292857706,416.73299666671306,428.8483,428.8483,16496
1984-12-24,414.3118,424.0028734304066,404.6207265695935,414.3118,414.3118,3419
1984-12-26,392.5061,407.04373154921575,387.66154972743817,392.5061,392.5061,5065
1984-12-27,387.6601,392.5046321555279,382.8135774861503,387.6601,387.6601,490
1984-12-28,387.6601,390.082366077764,368.27600030292297,387.6601,387.6601,6968
1984-12-31,380.3914,382.8136666419,377.96714299931455,380.3914,380.3914,2540
1985-01-02,377.9685,387.6615820857404,375.5462246615307,377.9685,377.9685,751
1985-01-03,368.2771,377.9681836075231,368.2771,368.2771,368.2771,3040
1985-01-04,358.5855,370.700829835536,358.5855,358.5855,358.5855,2973
1985-01-07,375.5456,375.5456,368.2767957091826,375.5456,375.5456,2037
1985-01-08,368.2771,377.9681836075231,363.4325533783711,368.2771,368.2771,1550
1985-01-09,361.0081,373.1234409162082,344.0482150078841,361.0081,361.0081,2652
1985-01-10,370.6995,370.6995,358.5842136264551,370.6995,370.6995,446
1985-01-11,392.5061,399.7749157746079,365.8551024036145,392.5061,392.5061,1302
1985-01-14,373.1225,380.3912881471208,361.00718963539856,373.1225,373.1225,3565
1985-01-15,368.2771,375.5459102967087,368.2771,368.2771,368.2771,805
1985-01-16,365.8543,373.12309983243847,363.4320301763205,365.8543,365.8543,770
1985-01-17,363.4314,368.2759312471248,363.4314,363.4314,363.4314,427
1985-01-18,361.0081,365.8546344391272,356.1635559240923,361.0081,361.0081,694
1985-01-21,358.5855,358.5855,348.8944303484106,358.5855,358.5855,5252
1985-01-22,356.1626,361.0071310734084,356.1626,356.1626,356.1626,576
1985-01-23,356.1626,356.1626,351.3160785687142,356.1626,356.1626,2136
1985-01-24,358.5855,361.0077698225476,353.73896999350586,358.5855,358.5855,1557
1985-01-25,356.1626,358.5848655367042,353.73834410541843,356.1626,356.1626,1315
1985-01-28,353.74,356.1642672428345,351.31772312436,353.74,353.74,1092
1985-01-29,353.74,353.74,351.31772312436,353.74,353.74,1503
1985-01-30,353.74,356.1642672428345,351.31772312436,353.74,353.74,538
1985-01-31,363.4314,373.1224528521983,351.3160911662906,363.4314,363.4314,2852
1985-02-01,368.2771,368.2771,363.4325533783711,368.2771,368.2771,299
1985-02-04,368.2771,368.2771,363.4325533783711,368.2771,368.2771,322
1985-02-05,363.4314,368.2759312471248,363.4314,363.4314,363.4314,522
1985-02-06,358.5855,358.5855,356.1632301774524,358.5855,358.5855,723
1985-02-07,363.4314,363.4314,353.738356789853,363.4314,363.4314,1232
1985-02-08,356.1626,365.8536525046942,356.1626,356.1626,356.1626,608
1985-02-11,358.5855,361.0077698225476,356.1632301774524,358.5855,358.5855,589
1985-02-12,358.5855,358.5855,356.1632301774524,358.5855,358.5855,302
1985-02-13,368.2771,368.2771,358.5860163924769,368.2771,368.2771,1375
1985-02-14,368.2771,382.8147205934173,363.4325533783711,368.2771,368.2771,3709
1985-02-15,363.4314,368.2759312471248,361.0071440184889,363.4314,363.4314,643
1985-02-19,356.1626,361.0071310734084,353.73834410541843,356.1626,356.1626,2216
1985-02-20,356.1626,361.0071310734084,356.1626,356.1626,356.1626,388
1985-02-21,361.0081,363.4323624011733,356.1635559240923,361.0081,361.0081,462
1985-02-22,358.5855,363.4320300064942,353.73896999350586,358.5855,358.5855,1729
1985-02-25,356.1626,356.1626,351.3160785687142,356.1626,356.1626,271
1985-02-26,356.1626,358.5848655367042,353.73834410541843,356.1626,356.1626,863
1985-02-27,353.74,358.58654411847454,353.74,353.74,353.74,7754
1985-02-28,353.74,353.74,346.47117900588546,353.74,353.74,2512
1985-03-01,353.74,356.1642672428345,351.31772312436,353.74,353.74,318
1985-03-04,353.74,353.74,348.8954462487199,353.74,353.74,188
1985-03-05,353.74,353.74,351.31772312436,353.74,353.74,436
1985-03-06,348.8939,351.316166140497,346.46964350112955,348.8939,348.8939,777
1985-03-07,348.8939,351.316166140497,348.8939,348.8939,348.8939,239
1985-03-08,348.8939,353.738432280994,346.46964350112955,348.8939,348.8939,1401
1985-03-11,341.6256,344.04786960615235,331.9345312141692,341.6256,341.6256,2381
1985-03-12,336.7797,339.203964499276,334.35742586566585,336.7797,336.7797,710
1985-03-13,331.934,334.3562657296533,331.934,331.934,331.934,4889
1985-03-14,339.2029,339.2029,331.9341100432453,339.2029,339.2029,1986
1985-03-15,339.2029,348.89395648944094,336.7786431086179,339.2029,339.2029,774
1985-03-18,339.2029,344.04743306537256,336.7786431086179,339.2029,339.2029,1518
1985-03-19,341.6256,341.6256,339.2033303938476,341.6256,341.6256,296
1985-03-20,339.2029,341.6251665326863,339.2029,339.2029,339.2029,630
1985-03-21,344.0486,356.1639544733509,339.204050503017,344.0486,344.0486,1101
1985-03-22,341.6256,346.4701392123048,341.6256,341.6256,341.6256,264
1985-03-25,341.6256,341.6256,334.35680082032155,341.6256,341.6256,637
1985-03-26,339.2029,339.2029,334.3563765759316,339.2029,339.2029,226
1985-03-27,336.7797,339.203964499276,334.35742586566585,336.7797,336.7797,309
1985-03-28,336.7797,336.7797,334.35742586566585,336.7797,336.7797,433
1985-03-29,358.5855,358.5855,334.356830690327,358.5855,358.5855,1853
1985-04-01,368.2771,368.2771,356.16374308166246,368.2771,368.2771,2340
1985-04-02,358.5855,370.700829835536,353.73896999350586,358.5855,358.5855,1802
