date,open,high,low,close,adjusted_close,volume
2005-05-10,5.31,5.6,5.15,5.2,5.2,1641350
2005-05-11,5.3,5.3,5.02,5.1,5.1,517046
2005-05-12,5.1,5.1,4.91,4.91,4.91,391850
2005-05-13,4.99,4.99,4.75,4.85,4.85,292080
2005-05-16,4.85,4.95,4.85,4.94,4.94,120661
2005-05-17,4.99,5.01,4.89,4.95,4.95,222592
2005-05-18,4.99,5.0,4.93,5.0,5.0,138051
2005-05-19,5.03,5.09,4.99,5.03,5.03,209470
2005-05-20,5.04,5.5,5.02,5.5,5.5,196038
2005-05-24,5.58,5.58,5.25,5.5,5.5,844780
2005-05-25,5.5,5.5,5.4,5.5,5.5,138930
2005-05-26,5.49,5.85,5.41,5.79,5.79,415015
2005-05-27,5.95,6.0,5.8,5.95,5.95,621998
2005-05-30,6.04,6.33,6.0,6.25,6.25,424138
2005-05-31,6.25,6.25,5.91,6.0,6.0,305288
2005-06-01,6.17,6.24,5.93,6.01,6.01,227415
2005-06-02,6.05,6.05,5.8,5.89,5.89,125796
2005-06-03,5.95,6.03,5.86,6.0,6.0,194910
2005-06-06,6.03,6.1,5.91,5.94,5.94,63319
2005-06-07,6.0,6.0,5.94,5.95,5.95,52766
2005-06-08,5.95,6.05,5.93,6.0,6.0,85940
2005-06-09,6.05,6.05,5.94,5.94,5.94,36400
2005-06-10,6.0,6.0,5.94,5.95,5.95,27800
2005-06-13,5.97,6.0,5.94,5.95,5.95,78152
2005-06-14,5.95,5.95,5.9,5.95,5.95,149370
2005-06-15,5.95,6.0,5.92,6.0,6.0,53400
2005-06-16,6.0,6.14,6.0,6.07,6.07,145910
2005-06-17,6.17,6.2,6.0,6.03,6.03,49655
2005-06-20,6.17,6.17,5.92,5.99,5.99,129195
2005-06-21,6.05,6.05,5.95,5.95,5.95,146200
2005-06-22,6.0,6.12,6.0,6.0,6.0,83000
2005-06-23,6.05,6.07,6.0,6.02,6.02,71300
2005-06-24,6.05,6.05,5.96,5.96,5.96,33600
2005-06-27,6.0,6.04,5.85,5.86,5.86,56875
2005-06-28,5.81,5.85,5.34,5.75,5.75,420174
2005-06-29,5.59,5.69,5.4,5.68,5.68,100902
2005-06-30,5.72,5.74,5.6,5.6,5.6,36638
2005-07-04,5.7,5.85,5.7,5.85,5.85,85500
2005-07-05,5.85,6.0,5.85,6.0,6.0,106382
2005-07-06,6.03,6.05,5.85,5.96,5.96,87750
2005-07-07,5.96,6.0,5.85,5.95,5.95,48600
2005-07-08,5.9,6.02,5.9,5.9,5.9,59835
2005-07-11,6.0,6.0,5.85,5.87,5.87,58885
2005-07-12,5.95,6.0,5.9,5.91,5.91,17659
2005-07-13,5.98,5.98,5.84,5.84,5.84,88670
2005-07-14,5.93,5.94,5.71,5.8,5.8,41614
