date,open,high,low,close,adjusted_close,volume
2006-04-10,546.0,547.9992,541.36,544.16,544.16,3877900
2006-04-11,546.56,547.12,538.4,545.6,545.6,1297100
2006-04-12,545.76,550.4792,542.48,542.72,542.72,1248300
2006-04-13,540.0,551.92,539.2,550.56,550.56,560700
2006-04-17,553.6,559.2,549.44,558.32,558.32,917700
2006-04-18,560.8,568.4,556.56,566.0,566.0,922700
2006-04-19,564.64,577.28,563.92,574.8,574.8,789800
2006-04-20,575.36,577.28,564.08,568.72,568.72,843200
2006-04-21,567.12,585.84,566.4,582.48,582.48,1065800
2006-04-24,571.2,579.6,566.32,568.08,568.08,1042800
2006-04-25,573.44,574.48,556.96,565.12,565.12,2853900
2006-04-26,563.52,566.8,555.6,556.32,556.32,899200
2006-04-27,552.8,556.64,548.56,549.6,549.6,635600
2006-04-28,554.08,564.0,551.92,556.96,556.96,868100
2006-05-01,561.2,573.2,560.0,572.0,572.0,555500
2006-05-02,574.72,581.52,570.72,578.72,578.72,871000
2006-05-03,579.84,579.84,560.0,561.76,561.76,1015000
2006-05-04,554.96,558.16,538.24,546.56,546.56,1557500
2006-05-05,546.4,547.796,541.44,544.0,544.0,671200
2006-05-08,537.04,543.92,530.4352,543.04,543.04,1312300
2006-05-09,543.92,553.44,542.08,547.2,547.2,783000
2006-05-10,546.56,558.16,539.84,558.16,558.16,704500
2006-05-11,568.0,568.4,559.36,562.4,562.4,1035500
2006-05-12,563.52,563.52,552.32,552.88,552.88,607600
2006-05-15,539.76,542.16,531.6,533.04,533.04,669900
2006-05-16,536.56,543.2,530.48,533.6,533.6,802000
2006-05-17,533.36,534.0,523.12,525.6,525.6,822700
2006-05-18,525.44,534.32,520.8,533.92,533.92,655900
2006-05-19,528.0,531.6944,521.2,524.56,524.56,812100
2006-05-22,519.12,532.56,519.12,530.24,530.24,769700
2006-05-23,538.0,547.36,537.68,542.16,542.16,630900
2006-05-24,537.68,543.44,528.4,528.8,528.8,400700
2006-05-25,533.44,543.04,530.48,542.4,542.4,300300
2006-05-26,539.68,545.84,538.64,542.0,542.0,269500
2006-05-30,549.76,552.64,545.76,546.56,546.56,489400
2006-05-31,541.12,543.28,532.64,541.84,541.84,471700
2006-06-01,534.72,546.0,532.08,534.56,534.56,922800
2006-06-02,542.08,553.2,540.4,551.2,551.2,443500
2006-06-05,557.52,558.24,547.52,549.92,549.92,393200
2006-06-06,544.72,551.6,542.4,550.08,550.08,179800
2006-06-07,546.16,546.64,536.08,538.24,538.24,360000
2006-06-08,532.24,536.96,526.48,536.96,536.96,308300
2006-06-09,540.0,545.6,540.0,544.56,544.56,342000
2006-06-12,547.12,547.12,534.88,536.64,536.64,213200
2006-06-13,527.52,529.84,521.04,521.44,521.44,602700
2006-06-14,524.08,527.28,520.0,526.32,526.32,333400
2006-06-15,530.8,532.16,527.6,529.28,529.28,308700
2006-06-16,527.76,531.76,522.0,530.0,530.0,218700
2006-06-19,526.56,526.9128,519.9072,524.32,524.32,188000
2006-06-20,527.28,529.6,519.3664,522.32,522.32,216400
2006-06-21,522.72,533.84,520.24,530.8,530.8,240800
2006-06-22,533.52,536.24,529.52,536.0,536.0,237400
2006-06-23,531.44,537.68,530.96,535.12,535.12,119100
2006-06-26,533.36,542.8,532.0,541.6,541.6,184000
2006-06-27,545.04,547.36,541.04,544.64,544.64,347400
2006-06-28,543.76,549.76,540.72,546.48,546.48,240300
2006-06-29,546.8,556.72,546.48,556.08,556.08,479000
2006-06-30,556.08,560.16,555.44,558.16,558.16,259400
2006-07-03,561.68,562.96,559.44,559.44,559.44,167100
2006-07-05,559.12,569.2,558.24,568.0,568.0,496400
2006-07-06,566.4,568.8,561.6,566.16,566.16,337000
2006-07-07,571.44,572.0,558.1376,558.8,558.8,415300
2006-07-10,556.56,558.8,541.12,556.48,556.48,196600
2006-07-11,562.48,564.8,559.92,560.64,560.64,237700
2006-07-12,563.2,569.12,558.88,569.12,569.12,631300
2006-07-13,574.0,586.32,574.0,586.0,586.0,1626000
2006-07-14,593.2,596.8,585.36,585.76,585.76,1658400
2006-07-17,581.84,585.68,572.16,573.2,573.2,1007900
2006-07-18,579.6,583.04,561.04,566.0,566.0,1060000
2006-07-19,562.0,564.16,549.28,558.8,558.8,876500
2006-07-20,561.2,562.8,550.8,552.8,552.8,568700
2006-07-21,557.84,561.6,552.16,556.16,556.16,504200
2006-07-24,552.0,561.44,549.6,561.36,561.36,394100
2006-07-25,563.36,563.52,549.68,552.0,552.0,1088100
2006-07-26,551.28,558.4,549.76,553.36,553.36,481200
2006-07-27,558.24,559.36,553.44,557.44,557.44,367400
2006-07-28,552.4,554.0,543.2,548.0,548.0,1129500
2006-07-31,550.24,557.44,546.0,556.16,556.16,486500
2006-08-01,559.2,564.0,556.8,561.2,561.2,453100
2006-08-02,565.36,571.36,564.512,568.96,568.96,762000
2006-08-03,559.76,565.84,558.4,564.48,564.48,492300
2006-08-04,564.08,564.08,554.64,558.48,558.48,304100
2006-08-07,568.72,577.12,567.2,576.0,576.0,1375100
2006-08-08,572.0,578.72,569.6,570.4,570.4,419600
2006-08-09,571.2,576.8,567.52,569.36,569.36,488200
2006-08-10,563.68,564.32,553.76,556.8,556.8,901500
2006-08-11,557.84,559.2,553.36,557.84,557.84,301900
2006-08-14,548.8,550.96,545.52,548.72,548.72,365500
2006-08-15,550.72,553.04,545.44,545.68,545.68,238600
2006-08-16,543.52,546.16,536.16,537.44,537.44,732300
