date,open,high,low,close,adjusted_close,volume
1984-11-05,0.3451,0.3451,0.3394615526358374,0.3451,0.3451,70500
1984-11-06,0.3462,0.3484524790776202,0.3428172285423663,0.3462,0.3462,135000
1984-11-07,0.3485,0.3496304465259577,0.3485,0.3485,0.3485,78000
1984-11-08,0.3496,0.3496,0.3450867137443225,0.3496,0.3496,75000
1984-11-09,0.3474,0.3496565577936357,0.3474,0.3474,0.3474,97500
1984-11-12,0.3406,0.3473663147650581,0.3406,0.3406,0.3406,208500
1984-11-13,0.3383,0.3383,0.3383,0.3383,0.3383,3000
1984-11-14,0.3383,0.3383,0.3349181798094406,0.3383,0.3383,34500
1984-11-16,0.3372,0.3372,0.3360696411686459,0.3372,0.3372,18000
1984-11-19,0.335,0.335,0.335,0.335,0.335,7500
1984-11-20,0.3361,0.3361,0.3361,0.3361,0.3361,7500
1984-11-21,0.3338,0.3371882564351627,0.3338,0.3338,0.3338,33000
1984-11-23,0.3338,0.3338,0.3338,0.3338,0.3338,16500
1984-11-26,0.3316,0.3316,0.3316,0.3316,0.3316,1500
1984-11-27,0.3226,0.3293663265420101,0.3226,0.3226,0.3226,55500
1984-11-28,0.3226,0.3248530398990237,0.3226,0.3226,0.3226,34500
1984-11-29,0.3203,0.3236831747736904,0.3203,0.3203,0.3203,34500
1984-11-30,0.3158,0.3203128826796202,0.3124166891527638,0.3158,0.3158,141000
1984-12-03,0.3158,0.316929571832384,0.3158,0.3158,0.3158,4500
1984-12-04,0.3135,0.3157515922743452,0.3123688000413689,0.3135,0.3135,15000
1984-12-05,0.3124,0.3135313129449212,0.3124,0.3124,0.3124,30000
1984-12-06,0.3124,0.3124,0.3124,0.3124,0.3124,3000
1984-12-07,0.3135,0.3157515922743452,0.3123688000413689,0.3135,0.3135,37500
1984-12-10,0.3135,0.3135,0.3135,0.3135,0.3135,15000
1984-12-11,0.3214,0.3214,0.3157591755639625,0.3214,0.3214,25500
1984-12-12,0.3293,0.3304258427580925,0.3225350360351736,0.3293,0.3293,103500
1984-12-13,0.3316,0.3327277961746065,0.3304704022340602,0.3316,0.3316,33000
1984-12-14,0.3327,0.3327,0.3304427946427846,0.3327,0.3327,3000
1984-12-17,0.335,0.335,0.3316155519581796,0.335,0.335,66000
1984-12-18,0.3338,0.3338,0.3338,0.3338,0.3338,7500
1984-12-19,0.3305,0.3350142913605822,0.3305,0.3305,0.3305,34500
1984-12-20,0.3282,0.3293277390953527,0.3282,0.3282,0.3282,28500
1984-12-21,0.3226,0.3259836136988137,0.3226,0.3226,0.3226,30000
1984-12-24,0.3226,0.3248530398990237,0.3226,0.3226,0.3226,25500
1984-12-26,0.3226,0.3226,0.3226,0.3226,0.3226,10500
1984-12-27,0.3214,0.3225294258091635,0.3180162258652095,0.3214,0.3214,48000
1984-12-28,0.3226,0.3226,0.3226,0.3226,0.3226,60000
1984-12-31,0.3203,0.3225581520653999,0.3203,0.3203,0.3203,18000
1985-01-02,0.3113,0.3214502057398823,0.3113,0.3113,0.3113,78000
1985-01-03,0.3124,0.3124,0.3124,0.3124,0.3124,1500
1985-01-07,0.3068,0.3101862577847203,0.3022903946607315,0.3068,0.3068,135000
1985-01-08,0.3045,0.3056249755967699,0.3045,0.3045,0.3045,27000
1985-01-09,0.3068,0.3068,0.3045469990104854,0.3068,0.3068,27000
1985-01-10,0.309,0.309,0.309,0.309,0.309,34500
1985-01-11,0.3056,0.3067275855463443,0.3056,0.3056,0.3056,15000
1985-01-14,0.309,0.309,0.304491220604181,0.309,0.309,64500
1985-01-15,0.3079,0.3090259383428996,0.3067695579037288,0.3079,0.3079,33000
1985-01-16,0.3079,0.3079,0.3079,0.3079,0.3079,3000
1985-01-17,0.3034,0.305655581253804,0.3034,0.3034,0.3034,30000
1985-01-18,0.309,0.309,0.3022350295561333,0.309,0.309,228000
1985-01-21,0.3068,0.3068,0.3068,0.3068,0.3068,25500
1985-01-22,0.3068,0.3090566043497538,0.3068,0.3068,0.3068,24000
1985-01-23,0.3079,0.3079,0.3067695579037288,0.3079,0.3079,28500
1985-01-24,0.3102,0.3102,0.3068135921935352,0.3102,0.3102,54000
1985-01-25,0.309,0.309,0.309,0.309,0.309,7500
1985-01-28,0.3113,0.3146843027125255,0.3113,0.3113,0.3113,28500
1985-01-29,0.3113,0.3113,0.3113,0.3113,0.3113,9000
1985-01-30,0.3124,0.3135313129449212,0.3112749921431474,0.3124,0.3124,37500
1985-01-31,0.3169,0.3169,0.3135188062221287,0.3169,0.3169,33000
1985-02-01,0.3169,0.3180276650532485,0.3169,0.3169,0.3169,336000
1985-02-04,0.3203,0.3203,0.318044550150873,0.3203,0.3203,28500
1985-02-05,0.3203,0.3225581520653999,0.3203,0.3203,0.3203,75000
