date,open,high,low,close,adjusted_close,volume
2020-01-09,0.11,0.25,0.11,0.25,0.25,2678
2020-01-10,0.3,0.41,0.3,0.4,0.4,17341
2020-01-13,0.44,1.25,0.44,1.1,1.1,33833
2020-01-14,1.45,2.5,1.45,2.29,2.29,93004
2020-01-15,2.5,3.0,2.31,2.41,2.41,94821
2020-01-16,2.77,3.0,1.51,2.01,2.01,74430
2020-01-17,2.68,2.68,1.37,1.6,1.6,94521
2020-01-21,1.36,1.89,1.3,1.36,1.36,80000
2020-01-22,1.37,1.5,0.78,0.824,0.824,97500
2020-01-23,0.95,1.0,0.86,0.94,0.94,59600
2020-01-24,0.919,0.95,0.78,0.81,0.81,26200
2020-01-27,0.8,0.9,0.53,0.65,0.65,82200
2020-01-28,0.86,0.86,0.63,0.679,0.679,80300
2020-01-29,0.67,0.75,0.6,0.65,0.65,297800
2020-01-30,0.68,0.844,0.65,0.65,0.65,6800
2020-01-31,0.65,0.8,0.65,0.8,0.8,8100
2020-02-03,0.825,0.825,0.65,0.66,0.66,7400
2020-02-04,0.48,0.87,0.45,0.8,0.8,29000
2020-02-05,0.86,0.9,0.8,0.8,0.8,20200
2020-02-06,0.6,0.85,0.6,0.7,0.7,18300
2020-02-07,0.85,0.85,0.75,0.82,0.82,7100
2020-02-10,0.85,0.85,0.65,0.71,0.71,16700
2020-02-11,0.71,0.8,0.7,0.78,0.78,12000
2020-02-12,0.732,0.8,0.722,0.8,0.8,3400
2020-02-13,0.845,0.85,0.725,0.73,0.73,8500
2020-02-14,0.73,0.83,0.73,0.75,0.75,14700
2020-02-18,0.75,0.79,0.651,0.79,0.79,9800
2020-02-19,0.66,0.79,0.66,0.74,0.74,7000
2020-02-20,0.67,0.74,0.67,0.685,0.685,6400
2020-02-21,0.73,0.73,0.67,0.67,0.67,7000
2020-02-24,0.67,0.71,0.65,0.651,0.651,9500
2020-02-25,0.651,0.73,0.651,0.651,0.651,7600
2020-02-26,0.651,0.72,0.6,0.6,0.6,17400
2020-02-27,0.6,0.6,0.47,0.5,0.5,29000
2020-02-28,0.47,0.7,0.47,0.6,0.6,11600
2020-03-02,0.62,0.7,0.47,0.6,0.6,14800
2020-03-03,0.59,0.7,0.59,0.6,0.6,2900
2020-03-04,0.6,0.7,0.53,0.6,0.6,4000
2020-03-05,0.6,0.6,0.5,0.52,0.52,12200
2020-03-06,0.555,0.65,0.5,0.5,0.5,9100
2020-03-09,0.5,0.65,0.32,0.35,0.35,117700
2020-03-10,0.42,0.5,0.4,0.5,0.5,40000
2020-03-11,0.35,0.49,0.35,0.35,0.35,16600
2020-03-12,0.35,0.5,0.35,0.35,0.35,18100
2020-03-13,0.35,0.45,0.35,0.45,0.45,12000
2020-03-16,0.35,0.5,0.22,0.4,0.4,10600
2020-03-17,0.35,0.45,0.23,0.42,0.42,14300
2020-03-18,0.39,0.43,0.26,0.4,0.4,20200
2020-03-19,0.35,0.4,0.32,0.35,0.35,9600
2020-03-20,0.45,0.45,0.25,0.35,0.35,8000
2020-03-23,0.25,0.35,0.22,0.3,0.3,171800
2020-03-24,0.22,0.39,0.22,0.26,0.26,8100
2020-03-25,0.25,0.4,0.25,0.4,0.4,4400
2020-03-26,0.4,0.4,0.25,0.39,0.39,2100
2020-03-27,0.26,0.4,0.23,0.3,0.3,24700
2020-03-30,0.25,0.3,0.25,0.3,0.3,25100
2020-03-31,0.28,0.28,0.28,0.28,0.28,900
2020-04-01,0.28,0.28,0.27,0.27,0.27,8500
2020-04-02,0.27,0.3,0.27,0.27,0.27,11400
2020-04-03,0.27,0.27,0.25,0.25,0.25,5200
2020-04-06,0.25,0.39,0.25,0.25,0.25,16800
2020-04-07,0.351,0.38,0.25,0.38,0.38,36300
2020-04-08,0.39,0.39,0.25,0.3,0.3,6500
2020-04-09,0.28,0.31,0.27,0.3,0.3,19600
2020-04-13,0.33,0.38,0.28,0.37,0.37,13700
2020-04-14,0.37,0.38,0.27,0.37,0.37,7500
2020-04-15,0.29,0.36,0.25,0.27,0.27,85500
2020-04-16,0.24,0.27,0.22,0.26,0.26,112800
2020-04-17,0.22,0.33,0.22,0.33,0.33,30400
2020-04-20,0.23,0.3,0.22,0.235,0.235,34100
2020-04-21,0.235,0.315,0.235,0.25,0.25,31900
2020-04-22,0.23,0.3,0.23,0.3,0.3,6800
2020-04-23,0.29,0.29,0.24,0.24,0.24,44500
2020-04-24,0.125,0.39,0.125,0.25,0.25,24300
2020-04-27,0.37,0.37,0.2,0.25,0.25,91200
2020-04-28,0.25,0.26,0.2,0.2,0.2,29000
2020-04-29,0.25,0.25,0.2,0.211,0.211,16000
2020-04-30,0.17,0.3,0.17,0.21,0.21,24900
2020-05-01,0.225,0.228,0.216,0.228,0.228,3600
2020-05-04,0.2,0.2,0.2,0.2,0.2,1700
2020-05-05,0.2,0.225,0.172,0.2,0.2,48800
2020-05-06,0.2,0.2,0.1,0.1,0.1,161400
2020-05-07,0.17,0.17,0.13,0.13,0.13,7100
2020-05-08,0.29,0.29,0.129,0.13,0.13,6500
2020-05-11,0.15,0.25,0.15,0.22,0.22,52700
2020-05-12,0.22,0.22,0.19,0.21,0.21,26800
2020-05-13,0.11,0.22,0.11,0.22,0.22,7600
